true_locus,seed,DPB1,DQB1,DRB1,DRB3,DRB4,DRB5
DPB1,42,375,0,0,0,0,0
DQB1,42,0,455,0,0,0,0
DRB1,42,0,0,575,1,0,0
DRB3,42,0,0,2,96,0,0
DRB4,42,0,0,0,0,43,0
DRB5,42,0,0,0,0,0,39
DPB1,43,374,1,0,0,0,0
DQB1,43,0,421,0,0,0,0
DRB1,43,0,0,574,2,0,0
DRB3,43,0,0,0,98,0,0
DRB4,43,0,0,0,0,43,0
DRB5,43,0,0,0,0,0,39
DPB1,44,375,0,0,0,0,0
DQB1,44,0,393,0,0,0,0
DRB1,44,0,0,581,1,0,0
DRB3,44,0,0,0,98,0,0
DRB4,44,0,0,0,0,43,0
DRB5,44,0,0,1,0,0,38
DPB1,45,459,0,0,0,0,0
DQB1,45,0,393,0,0,0,0
DRB1,45,0,0,571,4,0,0
DRB3,45,0,0,0,98,0,0
DRB4,45,0,0,0,0,43,0
DRB5,45,0,0,0,0,0,39
DPB1,46,375,0,0,0,0,0
DQB1,46,0,414,0,0,0,0
DRB1,46,0,0,572,3,0,0
DRB3,46,0,0,0,102,0,0
DRB4,46,0,0,0,0,43,0
DRB5,46,0,0,0,0,0,39
