analysis,seed,n_epochs,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy,best_epoch_val_accuracy,final_epoch_is_best,n_validation_records,recomputed_label_accuracy,recomputed_locus_accuracy
class1,42,5.0,0.035801,0.997941,0.38704,0.926191,0.926191,True,2791.0,0.926191,0.998567
class1,43,5.0,0.051474,0.996452,0.354002,0.897454,0.897454,False,2906.0,0.897454,0.997247
class1,44,5.0,0.074003,0.995185,0.468198,0.893426,0.893426,True,2890.0,0.893426,0.999308
class1,45,5.0,0.043644,0.997794,0.46763,0.885189,0.885189,True,2883.0,0.885189,0.998613
class1,46,5.0,0.045443,0.997938,0.345574,0.915272,0.917052,False,2809.0,0.915272,0.998932
class1,mean +- sd,,,,,0.903506,0.016784,,,,
class2,42,10.0,0.053435,0.997158,0.093841,0.986129,0.98739,False,1586.0,0.986129,0.998108
class2,43,10.0,0.0554,0.998171,0.123736,0.98067,0.981314,False,1552.0,0.98067,0.998067
class2,44,10.0,0.041024,0.998344,0.081995,0.988889,0.988889,False,1530.0,0.988889,0.998693
class2,45,10.0,0.05367,0.997315,0.14193,0.974487,0.982576,False,1607.0,0.974487,0.997511
class2,46,10.0,0.046786,0.998172,0.08841,0.988372,0.989018,False,1548.0,0.988372,0.998062
class2,mean +- sd,,,,,0.983709,0.006097,,,,
