analysis,seed,n,mean_top_probability,n_A,n_B,n_C,n_DPB1,n_DQB1,n_DRB1,n_DRB3,n_DRB4,n_DRB5
class1,42,260,0.5252,49.0,202.0,9.0,,,,,,
class1,43,260,0.4678,110.0,131.0,19.0,,,,,,
class1,44,260,0.3542,68.0,134.0,58.0,,,,,,
class1,45,260,0.2988,38.0,105.0,117.0,,,,,,
class1,46,260,0.4205,155.0,80.0,25.0,,,,,,
class2,42,152,0.6704,,,,0.0,29.0,98.0,22.0,1.0,2.0
class2,43,152,0.5514,,,,1.0,30.0,114.0,0.0,3.0,4.0
class2,44,152,0.6432,,,,0.0,45.0,105.0,1.0,1.0,0.0
class2,45,152,0.5729,,,,1.0,39.0,92.0,9.0,3.0,8.0
class2,46,152,0.6083,,,,0.0,14.0,106.0,30.0,2.0,0.0
