mhc_class,locus,submitted_id
I,SLA-1,SLA10204
I,SLA-1,SLA10205
I,SLA-1,SLA11003
I,SLA-1,SLA11604
I,SLA-1,SLA11605
I,SLA-1,SLA11606
I,SLA-1,SLA11803
I,SLA-1,SLA12305
I,SLA-1,SLA12306
I,SLA-1,SLA12401
I,SLA-1,SLA12501
I,SLA-2,SLA21106
I,SLA-2,SLA21107
I,SLA-2,SLA21108
I,SLA-2,SLA2130401
I,SLA-2,SLA2130402
I,SLA-2,SLA2160301
I,SLA-2,SLA2160302
I,SLA-2,SLA21702
I,SLA-2,SLA22201
I,SLA-3,SLA30314
I,SLA-3,SLA3040101
I,SLA-3,SLA3040102
I,SLA-3,SLA30802
I,SLA-3,SLA30803
II,SLA-DQA,SLADQA0208
II,SLA-DQB1,SLADQB10213
II,SLA-DQB1,SLADQB10214
II,SLA-DQB1,SLADQB11003
II,SLA-DRA,SLADRA040102
II,SLA-DRA,SLADRA040103
