analysis,sla_locus,ensemble_top_subgroup,n,mean_probability,mean_seeds_agreeing
class1,SLA-1,B40,20,0.2055,1.45
class1,SLA-1,A02,13,0.188,1.15
class1,SLA-1,B15,10,0.2088,1.4
class1,SLA-1,A03,9,0.2503,1.56
class1,SLA-1,A24,8,0.1764,1.38
class1,SLA-1,A29,6,0.1862,1.5
class1,SLA-1,B_Other,5,0.3975,2.8
class1,SLA-1,A68,2,0.1353,1.0
class1,SLA-1,B07,2,0.2378,1.5
class1,SLA-1,B13,2,0.1854,2.0
class1,SLA-1,C01,2,0.1621,1.5
class1,SLA-1,C14,2,0.1285,1.0
class1,SLA-1,A23,1,0.0771,1.0
class1,SLA-1,A26,1,0.3589,3.0
class1,SLA-1,A_Other,1,0.2331,2.0
class1,SLA-1,B44,1,0.1698,1.0
class1,SLA-1,B57,1,0.1676,2.0
class1,SLA-1,C03,1,0.2524,2.0
class1,SLA-1,C07,1,0.098,2.0
class1,SLA-1,C12,1,0.1282,1.0
class1,SLA-11,B40,2,0.1499,1.0
class1,SLA-12,A25,5,0.1041,1.2
class1,SLA-12,C16,1,0.0757,1.0
class1,SLA-2,B40,28,0.2543,1.68
class1,SLA-2,B15,11,0.2258,1.55
class1,SLA-2,A03,10,0.2329,1.8
class1,SLA-2,A24,9,0.2245,1.67
class1,SLA-2,A68,8,0.2252,2.12
class1,SLA-2,B_Other,7,0.208,1.43
class1,SLA-2,A29,4,0.2228,1.5
class1,SLA-2,B41,3,0.1941,1.67
class1,SLA-2,B08,2,0.1402,1.0
class1,SLA-2,B13,2,0.2544,2.0
class1,SLA-2,C03,2,0.1213,1.5
class1,SLA-2,C17,2,0.1196,1.0
class1,SLA-2,A01,1,0.1455,1.0
class1,SLA-2,A02,1,0.1604,1.0
class1,SLA-2,A25,1,0.1137,1.0
class1,SLA-2,A30,1,0.1766,2.0
class1,SLA-2,B14,1,0.1115,2.0
class1,SLA-2,B37,1,0.0965,1.0
class1,SLA-2,C05,1,0.1224,1.0
class1,SLA-2,C07,1,0.1318,1.0
class1,SLA-2,C08,1,0.1521,2.0
class1,SLA-3,B40,19,0.2138,1.53
class1,SLA-3,A02,14,0.1862,1.07
class1,SLA-3,B07,6,0.1691,1.0
class1,SLA-3,A29,2,0.1937,1.0
class1,SLA-3,A03,1,0.1669,1.0
class1,SLA-3,B15,1,0.1494,0.0
class1,SLA-6,B40,10,0.1391,1.0
class1,SLA-7,B_Other,3,0.2035,2.0
class1,SLA-8,C17,4,0.0816,0.25
class1,SLA-8,A23,1,0.0873,0.0
class1,SLA-9,B57,2,0.2148,2.0
class1,SLA-9,A02,1,0.2233,2.0
class1,SLA-9,B44,1,0.1823,1.0
class1,SLA-9,C08,1,0.1213,1.0
class2,SLA-DQB1,DQB103,19,0.3748,2.26
class2,SLA-DQB1,DRB101,19,0.4275,2.79
class2,SLA-DQB1,DQB102,10,0.2227,1.4
class2,SLA-DQB1,DQB104,3,0.2571,2.33
class2,SLA-DQB1,DQB106,2,0.4562,2.5
class2,SLA-DRB1,DRB101,27,0.4773,3.07
class2,SLA-DRB1,DRB1_Other,26,0.3993,3.04
class2,SLA-DRB1,DRB104,25,0.4736,2.6
class2,SLA-DRB1,DRB3_Other,11,0.3827,2.64
class2,SLA-DRB1,DRB115,6,0.1939,1.67
class2,SLA-DRB1,DRB113,3,0.3859,2.33
class2,SLA-DRB1,DPB1_Other,1,0.223,2.0
