left,right,distance,n_loci
3.0,4.0,9.969999999999999,2.0
6.0,20.0,12.46,3.0
10.0,15.0,13.310000000000002,2.0
13.0,22.0,13.894999999999996,3.0
5.0,21.0,14.086666666666668,4.0
9.0,23.0,14.24333333333333,4.0
1.0,2.0,16.310000000000002,2.0
0.0,26.0,17.895000000000003,3.0
7.0,12.0,25.510000000000005,2.0
11.0,24.0,27.117500000000003,5.0
16.0,25.0,27.3075,5.0
27.0,30.0,28.991333333333337,8.0
18.0,31.0,31.43625,9.0
17.0,32.0,34.05444444444444,10.0
28.0,29.0,36.355000000000004,7.0
8.0,34.0,38.05142857142857,8.0
14.0,33.0,42.177,11.0
19.0,36.0,48.28,12.0
35.0,37.0,75.58770833333334,20.0
