true_label,seed,A01,A02,A03,A11,A23,A24,A25,A26,A29,A30,A31,A32,A33,A68,A_Other
A01,42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A02,42,0,250,0,0,0,0,0,0,0,0,0,1,0,0,1
A03,42,2,0,52,0,0,0,0,0,0,0,0,0,0,0,0
A11,42,4,0,0,43,0,0,0,0,0,0,0,0,0,0,2
A23,42,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0
A24,42,0,1,0,0,2,77,0,0,0,0,0,0,0,1,0
A25,42,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
A26,42,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
A29,42,1,1,0,0,0,0,0,0,39,0,0,1,1,0,0
A30,42,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0
A31,42,1,0,0,0,0,0,0,0,0,0,10,5,1,0,0
A32,42,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0
A33,42,0,0,0,0,0,1,0,0,0,0,2,1,21,0,0
A68,42,0,1,0,0,0,1,0,0,0,0,0,0,0,23,0
A_Other,42,7,0,0,1,0,0,0,0,0,0,0,0,0,1,33
A01,43,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A02,43,0,266,1,1,0,8,0,1,1,0,0,1,0,3,1
A03,43,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0
A11,43,4,0,0,44,0,0,0,0,0,0,0,0,0,0,1
A23,43,0,1,0,0,11,0,0,0,1,0,0,1,0,0,0
A24,43,1,2,0,0,1,74,2,0,0,0,0,0,0,1,0
A25,43,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
A26,43,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
A29,43,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
A30,43,0,0,1,0,0,0,0,1,0,27,0,0,0,0,0
A31,43,0,0,0,2,2,0,0,0,0,0,10,2,0,0,0
A32,43,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0
A33,43,0,0,0,0,0,0,1,1,0,0,2,0,20,1,0
A68,43,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2
A_Other,43,7,0,0,0,0,0,0,1,0,1,2,0,0,0,26
A01,44,24,0,0,2,0,0,0,0,0,0,0,0,0,0,2
A02,44,0,255,1,0,0,2,0,1,0,0,0,1,1,5,3
A03,44,1,0,52,0,0,0,0,0,1,0,0,0,0,0,0
A11,44,5,0,0,43,0,0,0,0,0,0,0,0,0,0,1
A23,44,0,0,0,0,10,0,0,0,1,0,0,2,0,0,0
A24,44,1,2,1,1,3,73,0,0,0,0,0,0,0,0,0
A25,44,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
A26,44,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
A29,44,0,0,1,0,0,0,0,0,36,0,2,1,1,2,0
A30,44,0,0,1,0,0,0,0,0,1,27,0,0,0,0,0
A31,44,1,0,0,0,0,0,1,0,0,0,10,4,1,0,0
A32,44,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0
A33,44,0,0,0,0,0,1,0,1,0,0,2,1,20,0,0
A68,44,0,0,0,0,0,0,0,0,0,0,0,0,0,74,4
A_Other,44,0,0,20,0,0,0,0,0,0,0,0,0,0,0,18
A01,45,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A02,45,0,256,0,0,0,0,0,0,0,0,0,1,0,0,1
A03,45,0,1,51,0,0,1,0,0,0,0,0,0,0,1,0
A11,45,2,0,1,44,0,0,0,0,0,0,0,0,0,0,2
A23,45,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0
A24,45,2,2,1,0,1,71,0,0,0,0,0,1,0,2,1
A25,45,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
A26,45,0,1,0,0,0,0,0,25,0,0,0,0,0,0,1
A29,45,0,0,0,0,0,0,0,0,38,0,2,0,3,0,0
A30,45,0,0,0,0,0,0,0,0,0,59,0,0,0,0,1
A31,45,1,0,0,1,0,0,0,0,0,0,8,4,1,0,1
A32,45,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0
A33,45,0,0,0,0,0,0,0,1,0,0,0,1,22,1,0
A68,45,0,2,0,0,0,1,0,0,0,0,0,0,0,44,35
A_Other,45,13,0,0,0,0,0,0,0,0,0,0,0,0,0,23
A01,46,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A02,46,0,248,0,0,0,0,0,1,0,0,0,1,0,0,0
A03,46,1,0,52,0,0,0,0,0,0,0,0,0,0,0,1
A11,46,4,0,0,43,0,0,0,0,0,0,0,0,0,0,2
A23,46,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0
A24,46,0,0,1,0,3,77,0,0,0,0,0,0,0,0,0
A25,46,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
A26,46,0,0,0,0,0,0,0,25,0,0,0,0,0,0,13
A29,46,0,0,0,0,0,0,0,0,44,0,0,1,0,0,0
A30,46,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0
A31,46,1,0,0,0,0,0,0,0,1,0,10,5,0,0,0
A32,46,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0
A33,46,0,0,0,0,0,1,0,1,2,0,2,1,18,0,0
A68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2
A_Other,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
