true_label,A01,A02,A03,A11,A23,A24,A25,A26,A29,A30,A31,A32,A33,A68,A_Other
A01,126,0,0,3,0,1,0,0,0,0,0,0,0,0,4
A02,0,1275,2,1,0,10,0,3,1,0,0,5,1,8,6
A03,5,1,260,0,0,1,0,0,1,0,0,0,0,1,1
A11,19,0,1,217,0,0,0,0,0,0,0,0,0,0,8
A23,0,1,0,0,59,1,0,0,2,0,0,6,0,0,0
A24,4,7,3,1,10,372,2,0,0,0,0,1,0,4,1
A25,0,0,0,0,2,2,26,0,0,0,0,0,0,0,0
A26,0,1,0,0,0,0,0,131,0,0,0,0,0,0,14
A29,1,1,1,0,0,0,0,0,201,0,4,3,5,2,0
A30,0,0,4,0,0,0,0,1,1,197,0,0,0,0,1
A31,4,0,0,3,2,0,1,0,1,0,48,20,3,0,1
A32,0,0,5,0,0,0,0,0,0,0,0,60,0,0,0
A33,0,0,0,0,0,3,1,4,2,0,8,4,101,2,0
A68,0,3,0,0,0,2,0,0,0,0,0,0,0,281,43
A_Other,27,0,20,1,0,0,0,1,0,1,2,0,0,1,136
