true_label,A01,A02,A03,A11,A23,A24,A25,A26,A29,A30,A31,A32,A33,A68,A_Other
A01,0.9403,0.0,0.0,0.02239,0.0,0.00746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02985
A02,0.0,0.9718,0.00152,0.00076,0.0,0.00762,0.0,0.00229,0.00076,0.0,0.0,0.00381,0.00076,0.0061,0.00457
A03,0.01852,0.0037,0.96296,0.0,0.0,0.0037,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0037,0.0037
A11,0.07755,0.0,0.00408,0.88571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03265
A23,0.0,0.01449,0.0,0.0,0.85507,0.01449,0.0,0.0,0.02899,0.0,0.0,0.08696,0.0,0.0,0.0
A24,0.00988,0.01728,0.00741,0.00247,0.02469,0.91852,0.00494,0.0,0.0,0.0,0.0,0.00247,0.0,0.00988,0.00247
A25,0.0,0.0,0.0,0.0,0.06667,0.06667,0.86667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26,0.0,0.00685,0.0,0.0,0.0,0.0,0.0,0.89726,0.0,0.0,0.0,0.0,0.0,0.0,0.09589
A29,0.00459,0.00459,0.00459,0.0,0.0,0.0,0.0,0.0,0.92202,0.0,0.01835,0.01376,0.02294,0.00917,0.0
A30,0.0,0.0,0.01961,0.0,0.0,0.0,0.0,0.0049,0.0049,0.96569,0.0,0.0,0.0,0.0,0.0049
A31,0.04819,0.0,0.0,0.03614,0.0241,0.0,0.01205,0.0,0.01205,0.0,0.57831,0.24096,0.03614,0.0,0.01205
A32,0.0,0.0,0.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92308,0.0,0.0,0.0
A33,0.0,0.0,0.0,0.0,0.0,0.024,0.008,0.032,0.016,0.0,0.064,0.032,0.808,0.016,0.0
A68,0.0,0.00912,0.0,0.0,0.0,0.00608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8541,0.1307
A_Other,0.14286,0.0,0.10582,0.00529,0.0,0.0,0.0,0.00529,0.0,0.00529,0.01058,0.0,0.0,0.00529,0.71958
