true_label,seed,B07,B08,B13,B14,B15,B18,B27,B35,B37,B38,B39,B40,B41,B44,B46,B49,B50,B51,B52,B53,B55,B56,B57,B58,B_Other
B07,42,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7
B08,42,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B13,42,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,42,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B15,42,0,0,3,0,168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,42,0,0,0,0,0,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
B27,42,0,0,0,0,0,0,62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B35,42,0,0,0,0,0,0,0,134,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
B37,42,1,0,0,0,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B38,42,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B39,42,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B40,42,0,0,0,0,2,0,1,2,0,0,0,119,0,2,0,0,0,0,0,0,0,0,0,0,0
B41,42,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,1,0,0,0,0,0,0
B44,42,0,0,1,0,1,0,1,4,0,0,0,2,2,68,0,3,0,0,3,1,0,0,0,0,1
B46,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0
B49,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0
B50,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0
B51,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,6,0,0,0,0,0
B52,42,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,27,0,0,0,0,0,0
B53,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0
B55,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1
B56,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,15,0,0,0
B57,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
B58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0
B_Other,42,0,1,0,1,1,0,0,4,1,2,0,0,4,0,0,0,4,8,0,0,0,0,0,0,40
B07,43,64,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
B08,43,0,27,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0
B13,43,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,43,0,0,0,15,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,43,0,1,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
B18,43,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B27,43,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B35,43,0,0,0,0,0,0,0,129,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
B37,43,0,0,0,0,0,1,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B38,43,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B39,43,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B40,43,0,0,0,0,4,0,1,1,0,0,0,114,0,6,0,0,0,0,1,0,0,0,0,0,0
B41,43,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,1,0,0,0,0,0,0,0,0,0
B44,43,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,3,0,0,0,0,0,0,0,0,0
B46,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
B49,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0
B50,43,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,10,0,0,0,0,0,0,0,0
B51,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,49,1,0,0,0,0,0,0
B52,43,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25,0,0,0,0,0,0
B53,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,15,0,0,0,0,0
B55,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,8
B56,43,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,12,0,0,1
B57,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
B58,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0
B_Other,43,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,30,10,0,0,0,0,0,0,15
B07,44,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6
B08,44,2,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
B13,44,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,44,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,44,0,1,1,0,135,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0
B18,44,0,0,1,0,1,23,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1
B27,44,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B35,44,0,0,0,0,0,0,0,133,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B37,44,0,0,2,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
B38,44,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B39,44,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B40,44,0,0,0,0,2,0,1,0,0,0,0,119,2,0,0,0,0,0,0,0,0,0,0,0,3
