true_label,B07,B08,B13,B14,B15,B18,B27,B35,B37,B38,B39,B40,B41,B44,B46,B49,B50,B51,B52,B53,B55,B56,B57,B58,B_Other
B07,292,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,3,1,1,0,29
B08,4,146,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,5,0,0,0,0,0,0,4
B13,0,0,253,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,0,3,0,94,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B15,0,3,4,0,764,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,2,1
B18,0,0,1,0,4,143,0,5,1,3,0,6,0,0,0,0,0,0,0,5,0,0,0,0,2
B27,0,0,0,0,0,0,335,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
B35,0,1,0,0,2,0,0,654,0,2,1,4,0,0,0,0,0,1,1,1,1,0,0,0,8
B37,1,0,2,0,0,2,6,0,59,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,5
B38,0,0,0,0,0,0,0,0,0,138,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
B39,0,0,0,3,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B40,0,0,0,0,14,1,4,6,0,0,0,585,2,10,0,0,0,0,3,0,0,0,0,0,7
B41,0,0,0,0,0,0,0,0,1,0,0,8,91,0,0,2,0,0,1,0,0,0,0,0,0
B44,0,0,3,0,4,0,1,6,0,0,0,8,3,459,0,12,0,0,5,3,0,0,0,1,4
B46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,2,1,0,0,0
B49,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,45,0,0,0,0,0,0,0,0,0
B50,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,53,0,0,0,0,1,0,0,2
B51,0,0,0,0,2,0,0,1,0,0,0,0,0,6,0,0,0,236,5,16,0,0,0,0,6
B52,0,0,4,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,134,1,0,0,0,0,0
B53,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,5,0,83,0,0,0,0,1
B55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,25
B56,0,0,1,0,4,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,27,64,0,0,6
B57,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1,0
B58,0,0,1,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,12,115,1
B_Other,0,1,1,7,2,0,1,5,1,2,16,8,15,6,0,0,100,18,0,0,1,2,0,1,120
