true_label,n_observations,n_unique_alleles,label_absent_from_every_partition
B07,333,75,False
B08,164,35,False
B13,254,60,False
B14,109,48,False
B15,810,364,False
B18,170,34,False
B27,338,138,False
B35,676,285,False
B37,80,16,False
B38,145,29,False
B39,253,148,False
B40,632,137,False
B41,103,35,False
B44,509,185,False
B46,68,14,False
B49,50,10,False
B50,65,13,False
B51,272,55,False
B52,148,30,False
B53,96,22,False
B55,151,56,False
B56,111,35,False
B57,125,25,False
B58,139,28,False
B_Other,307,121,False
