true_label,B07,B08,B13,B14,B15,B18,B27,B35,B37,B38,B39,B40,B41,B44,B46,B49,B50,B51,B52,B53,B55,B56,B57,B58,B_Other
B07,0.87688,0.003,0.0,0.0,0.0,0.0,0.0,0.00601,0.0,0.00601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00601,0.0,0.0,0.00901,0.003,0.003,0.0,0.08709
B08,0.02439,0.89024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0,0.02439,0.0,0.0,0.0,0.03049,0.0,0.0,0.0,0.0,0.0,0.0,0.02439
B13,0.0,0.0,0.99606,0.0,0.00394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B14,0.0,0.02752,0.0,0.86239,0.0,0.0,0.0,0.0,0.0,0.00917,0.07339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02752
B15,0.0,0.0037,0.00494,0.0,0.94321,0.0,0.00123,0.00247,0.0,0.00247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03827,0.00247,0.00123
B18,0.0,0.0,0.00588,0.0,0.02353,0.84118,0.0,0.02941,0.00588,0.01765,0.0,0.03529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02941,0.0,0.0,0.0,0.0,0.01176
B27,0.0,0.0,0.0,0.0,0.0,0.0,0.99112,0.0,0.0,0.0,0.0,0.00592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00296
B35,0.0,0.00148,0.0,0.0,0.00296,0.0,0.0,0.96746,0.0,0.00296,0.00148,0.00592,0.0,0.0,0.0,0.0,0.0,0.00148,0.00148,0.00148,0.00148,0.0,0.0,0.0,0.01183
B37,0.0125,0.0,0.025,0.0,0.0,0.025,0.075,0.0,0.7375,0.0,0.0,0.0125,0.025,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0625
B38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95172,0.02069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02759
B39,0.0,0.0,0.0,0.01186,0.0,0.0,0.0,0.0,0.0,0.0,0.98024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00791
B40,0.0,0.0,0.0,0.0,0.02215,0.00158,0.00633,0.00949,0.0,0.0,0.0,0.92563,0.00316,0.01582,0.0,0.0,0.0,0.0,0.00475,0.0,0.0,0.0,0.0,0.0,0.01108
B41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00971,0.0,0.0,0.07767,0.8835,0.0,0.0,0.01942,0.0,0.0,0.00971,0.0,0.0,0.0,0.0,0.0,0.0
B44,0.0,0.0,0.00589,0.0,0.00786,0.0,0.00196,0.01179,0.0,0.0,0.0,0.01572,0.00589,0.90177,0.0,0.02358,0.0,0.0,0.00982,0.00589,0.0,0.0,0.0,0.00196,0.00786
B46,0.0,0.0,0.0,0.0,0.01471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94118,0.0,0.0,0.0,0.0,0.0,0.02941,0.01471,0.0,0.0,0.0
B49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01538,0.0,0.0,0.0,0.10769,0.01538,0.0,0.0,0.0,0.81538,0.0,0.0,0.0,0.0,0.01538,0.0,0.0,0.03077
B51,0.0,0.0,0.0,0.0,0.00735,0.0,0.0,0.00368,0.0,0.0,0.0,0.0,0.0,0.02206,0.0,0.0,0.0,0.86765,0.01838,0.05882,0.0,0.0,0.0,0.0,0.02206
B52,0.0,0.0,0.02703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03378,0.0,0.02703,0.0,0.0,0.0,0.0,0.90541,0.00676,0.0,0.0,0.0,0.0,0.0
B53,0.0,0.0,0.01042,0.0,0.0,0.0,0.0,0.02083,0.0,0.0,0.0,0.0,0.0,0.04167,0.0,0.0,0.0,0.05208,0.0,0.86458,0.0,0.0,0.0,0.0,0.01042
B55,0.00662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82781,0.0,0.0,0.0,0.16556
B56,0.0,0.0,0.00901,0.0,0.03604,0.0,0.0,0.06306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01802,0.0,0.0,0.24324,0.57658,0.0,0.0,0.05405
B57,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,0.008,0.0
B58,0.0,0.0,0.00719,0.0,0.0,0.0,0.01439,0.02158,0.0,0.00719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02878,0.0,0.0,0.0,0.08633,0.82734,0.00719
B_Other,0.0,0.00326,0.00326,0.0228,0.00651,0.0,0.00326,0.01629,0.00326,0.00651,0.05212,0.02606,0.04886,0.01954,0.0,0.0,0.32573,0.05863,0.0,0.0,0.00326,0.00651,0.0,0.00326,0.39088
