true_label,seed,C01,C02,C03,C04,C05,C06,C07,C08,C12,C14,C15,C16,C17,C_Other
C01,42,32,0,3,0,0,0,0,0,1,1,0,0,0,0
C02,42,0,11,0,0,1,0,0,0,1,0,1,0,0,0
C03,42,3,0,145,0,0,0,0,2,0,0,0,0,0,0
C04,42,0,0,0,67,4,3,0,2,0,0,3,0,0,1
C05,42,1,0,0,0,56,0,0,0,0,0,1,0,1,0
C06,42,1,0,0,0,0,21,0,0,0,0,1,0,0,0
C07,42,0,0,0,2,1,1,228,0,0,0,2,0,0,0
C08,42,0,0,1,0,1,0,0,37,0,0,0,0,0,0
C12,42,0,0,0,0,0,0,0,1,94,0,0,0,0,0
C14,42,0,0,1,0,0,0,0,1,0,12,0,0,0,0
C15,42,1,0,0,0,0,0,0,1,0,0,41,1,0,0
C16,42,0,0,0,0,0,0,0,0,0,0,0,39,0,0
C17,42,0,0,0,0,0,0,0,0,0,0,0,0,7,0
C_Other,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01,43,29,0,3,0,0,0,0,0,1,2,0,1,0,0
C02,43,0,12,0,0,1,0,0,0,1,0,0,0,0,0
C03,43,0,0,146,0,0,0,1,1,1,0,0,6,0,0
C04,43,0,0,2,37,35,4,0,2,0,0,0,0,0,0
C05,43,0,3,1,1,54,0,0,0,0,0,0,0,0,0
C06,43,0,0,0,0,0,20,0,0,1,0,0,1,0,0
C07,43,0,0,0,0,0,0,261,0,0,0,0,0,0,0
C08,43,0,0,1,0,1,0,0,37,0,0,0,0,0,0
C12,43,0,0,0,0,0,2,0,1,91,0,0,1,0,0
C14,43,0,0,1,0,0,0,0,0,0,12,0,1,0,0
C15,43,0,1,2,0,1,0,0,0,1,0,39,0,0,0
C16,43,0,0,0,0,0,0,0,0,0,0,0,38,0,0
C17,43,0,0,0,0,0,0,0,0,0,0,0,0,7,0
C_Other,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01,44,28,0,2,0,0,0,0,2,2,2,0,1,0,0
C02,44,0,11,0,0,2,0,0,0,1,0,0,0,0,0
C03,44,4,0,160,0,0,0,1,2,0,0,0,0,0,0
C04,44,0,0,0,40,9,3,0,26,0,1,0,0,1,0
C05,44,1,0,1,0,57,0,0,0,0,0,0,0,0,0
C06,44,1,0,0,0,0,19,1,0,0,0,1,0,0,0
C07,44,0,0,0,0,0,0,247,0,0,0,0,0,0,0
C08,44,0,0,1,0,1,0,0,37,0,0,0,0,0,0
C12,44,0,0,0,0,0,1,0,1,92,0,0,2,0,0
C14,44,0,0,1,0,0,0,0,0,0,13,0,0,0,0
C15,44,1,0,1,0,2,0,0,1,1,0,38,0,0,0
C16,44,0,0,0,0,0,0,0,0,0,0,0,54,0,0
C17,44,0,0,0,0,1,0,0,0,0,0,0,0,6,0
C_Other,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01,45,30,0,3,0,0,0,0,0,1,2,0,0,0,0
C02,45,0,11,0,0,2,0,0,0,1,0,0,0,0,0
C03,45,3,0,141,0,0,0,1,2,0,0,0,1,0,0
C04,45,0,5,2,39,29,3,0,1,0,0,0,0,1,0
C05,45,0,0,1,1,55,0,0,0,0,0,0,2,0,0
C06,45,0,0,0,0,0,22,0,0,0,0,0,0,0,0
C07,45,0,0,0,0,1,0,285,0,0,0,0,0,0,0
C08,45,0,0,4,0,1,0,0,34,0,0,0,0,0,0
C12,45,0,0,0,0,0,2,0,1,91,0,0,1,0,0
C14,45,0,0,1,0,0,0,0,0,0,12,0,1,0,0
C15,45,1,0,2,0,1,0,1,0,0,0,39,0,0,0
C16,45,0,1,0,0,0,1,0,0,0,0,0,37,0,0
C17,45,0,0,0,0,0,0,0,0,0,0,0,0,7,0
C_Other,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01,46,33,0,2,0,0,0,0,0,1,1,0,0,0,0
C02,46,0,10,0,0,1,0,0,0,2,0,0,1,0,0
C03,46,3,0,166,0,0,0,0,0,0,0,0,0,0,0
C04,46,1,0,1,54,4,5,1,0,0,0,2,0,1,10
C05,46,1,0,0,0,57,0,0,1,0,0,0,0,0,0
C06,46,1,0,0,0,0,21,1,0,0,0,0,0,0,0
C07,46,0,0,0,0,0,2,243,1,0,0,0,0,0,0
C08,46,0,0,1,0,1,0,0,37,0,0,0,0,0,0
C12,46,0,0,0,0,0,2,0,1,92,0,0,0,0,0
C14,46,1,0,1,0,0,0,0,0,0,11,0,1,0,0
C15,46,0,1,2,0,0,0,0,0,1,0,40,0,0,0
C16,46,0,0,0,0,0,0,0,0,0,0,0,38,0,0
C17,46,0,0,0,0,0,0,0,0,0,0,0,0,7,0
C_Other,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
