true_label,C01,C02,C03,C04,C05,C06,C07,C08,C12,C14,C15,C16,C17,C_Other
C01,152,0,13,0,0,0,0,2,6,8,0,2,0,0
C02,0,55,0,0,7,0,0,0,6,0,1,1,0,0
C03,13,0,758,0,0,0,3,7,1,0,0,7,0,0
C04,1,5,5,237,81,18,1,31,0,1,5,0,3,11
C05,3,3,3,2,279,0,0,1,0,0,1,2,1,0
C06,3,0,0,0,0,103,2,0,1,0,2,1,0,0
C07,0,0,0,2,2,3,1264,1,0,0,2,0,0,0
C08,0,0,8,0,5,0,0,182,0,0,0,0,0,0
C12,0,0,0,0,0,7,0,5,460,0,0,4,0,0
C14,1,0,5,0,0,0,0,1,0,60,0,3,0,0
C15,3,2,7,0,4,0,1,2,3,0,197,1,0,0
C16,0,1,0,0,0,1,0,0,0,0,0,206,0,0
C17,0,0,0,0,1,0,0,0,0,0,0,0,34,0
C_Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0
