true_label,C01,C02,C03,C04,C05,C06,C07,C08,C12,C14,C15,C16,C17,C_Other
C01,0.8306,0.0,0.07104,0.0,0.0,0.0,0.0,0.01093,0.03279,0.04372,0.0,0.01093,0.0,0.0
C02,0.0,0.78571,0.0,0.0,0.1,0.0,0.0,0.0,0.08571,0.0,0.01429,0.01429,0.0,0.0
C03,0.01648,0.0,0.96071,0.0,0.0,0.0,0.0038,0.00887,0.00127,0.0,0.0,0.00887,0.0,0.0
C04,0.00251,0.01253,0.01253,0.59398,0.20301,0.04511,0.00251,0.07769,0.0,0.00251,0.01253,0.0,0.00752,0.02757
C05,0.01017,0.01017,0.01017,0.00678,0.94576,0.0,0.0,0.00339,0.0,0.0,0.00339,0.00678,0.00339,0.0
C06,0.02679,0.0,0.0,0.0,0.0,0.91964,0.01786,0.0,0.00893,0.0,0.01786,0.00893,0.0,0.0
C07,0.0,0.0,0.0,0.00157,0.00157,0.00235,0.99215,0.00078,0.0,0.0,0.00157,0.0,0.0,0.0
C08,0.0,0.0,0.04103,0.0,0.02564,0.0,0.0,0.93333,0.0,0.0,0.0,0.0,0.0,0.0
C12,0.0,0.0,0.0,0.0,0.0,0.01471,0.0,0.0105,0.96639,0.0,0.0,0.0084,0.0,0.0
C14,0.01429,0.0,0.07143,0.0,0.0,0.0,0.0,0.01429,0.0,0.85714,0.0,0.04286,0.0,0.0
C15,0.01364,0.00909,0.03182,0.0,0.01818,0.0,0.00455,0.00909,0.01364,0.0,0.89545,0.00455,0.0,0.0
C16,0.0,0.00481,0.0,0.0,0.0,0.00481,0.0,0.0,0.0,0.0,0.0,0.99038,0.0,0.0
C17,0.0,0.0,0.0,0.0,0.02857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97143,0.0
C_Other,,,,,,,,,,,,,,
