true_label,seed,DQB102,DQB103,DQB104,DQB105,DQB106,DQB1_Other,DRB101,DRB103,DRB104,DRB107,DRB108,DRB111,DRB112,DRB113,DRB114,DRB115,DRB116,DRB1_Other,DRB3_Other,DRB4_Other,DRB5_Other
DQB102,42,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB103,42,0,151,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB104,42,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB105,42,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB106,42,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB1_Other,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRB101,42,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DRB103,42,0,0,0,0,0,0,0,46,0,0,0,0,0,0,2,0,0,0,0,0,0
DRB104,42,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
DRB107,42,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
DRB108,42,0,0,0,0,0,0,0,0,0,0,27,2,0,2,0,0,0,0,0,0,0
DRB111,42,0,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,0,0,0,0
DRB112,42,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
DRB113,42,0,0,0,0,0,0,0,0,0,0,1,0,0,77,2,0,0,0,0,0,0
DRB114,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,1,0,0
DRB115,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
DRB116,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
DRB1_Other,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
DRB3_Other,42,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,96,0,0
DRB4_Other,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
DRB5_Other,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
DQB102,43,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB103,43,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB104,43,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB105,43,0,0,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB106,43,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB1_Other,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRB101,43,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRB103,43,0,0,0,0,0,0,0,43,0,0,0,0,0,1,4,0,0,0,0,0,0
DRB104,43,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
DRB107,43,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
DRB108,43,0,0,0,0,0,0,0,0,0,0,29,0,1,1,0,0,0,0,0,0,0
DRB111,43,0,0,0,0,0,0,0,0,0,0,0,73,0,2,5,0,0,0,0,0,0
DRB112,43,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
DRB113,43,0,0,0,0,0,0,0,0,0,0,4,0,0,74,1,0,0,0,1,0,0
DRB114,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,0,1,0,0
DRB115,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0
DRB116,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
DRB1_Other,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
DRB3_Other,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0
DRB4_Other,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
DRB5_Other,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
DQB102,44,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB103,44,0,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB104,44,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB105,44,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB106,44,0,0,0,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB1_Other,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRB101,44,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRB103,44,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0,0
DRB104,44,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0
DRB107,44,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
DRB108,44,0,0,0,0,0,0,0,0,0,0,29,0,1,2,0,0,0,0,0,0,0
DRB111,44,0,0,0,0,0,0,0,0,1,0,1,76,0,0,1,0,0,0,0,0,0
DRB112,44,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
DRB113,44,0,0,0,0,0,0,0,0,0,0,0,1,0,78,1,0,0,0,0,0,0
DRB114,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0,1,0,0
DRB115,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
DRB116,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
DRB1_Other,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
DRB3_Other,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0
DRB4_Other,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
DRB5_Other,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38
DQB102,45,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB103,45,0,121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB104,45,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB105,45,0,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB106,45,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB1_Other,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRB101,45,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRB103,45,0,0,0,0,0,0,0,34,0,0,0,0,0,1,13,0,0,0,0,0,0
DRB104,45,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
DRB107,45,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
DRB108,45,0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0
DRB111,45,0,0,0,0,0,0,0,0,1,0,0,73,0,0,5,0,0,0,0,0,0
DRB112,45,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0
DRB113,45,0,0,0,0,0,0,0,0,0,0,1,0,0,77,2,0,0,0,0,0,0
DRB114,45,0,0,0,0,0,0,0,0,3,0,0,0,0,3,52,0,0,0,3,0,0
DRB115,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0
DRB116,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
DRB1_Other,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
