true_label,DQB102,DQB103,DQB104,DQB105,DQB106,DQB1_Other,DRB101,DRB103,DRB104,DRB107,DRB108,DRB111,DRB112,DRB113,DRB114,DRB115,DRB116,DRB1_Other,DRB3_Other,DRB4_Other,DRB5_Other
DQB102,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB103,0,640,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB104,0,9,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB105,0,0,0,418,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB106,0,0,0,1,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQB1_Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRB101,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DRB103,0,0,0,0,0,0,0,217,0,0,0,1,0,2,20,0,0,0,1,0,0
DRB104,0,0,0,0,0,0,0,0,433,0,0,1,0,0,2,0,0,0,0,0,0
DRB107,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0
DRB108,0,0,0,0,0,0,0,0,0,0,145,2,2,7,0,0,0,0,0,0,0
DRB111,0,0,0,0,0,0,0,0,2,0,1,379,0,3,11,0,0,0,0,0,0
DRB112,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,1,0,0
DRB113,0,0,0,0,0,0,0,0,0,0,6,1,0,386,6,0,0,0,1,0,0
DRB114,0,0,0,0,0,0,0,3,3,0,0,0,0,14,277,0,0,0,8,0,0
DRB115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,2,0,0,0,0
DRB116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86,0,0,0,0
DRB1_Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0
DRB3_Other,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,492,0,0
DRB4_Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0
DRB5_Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,194
