true_label,n_observations,n_unique_alleles,label_absent_from_every_partition
DQB102,273,76,False
DQB103,645,376,False
DQB104,120,40,False
DQB105,420,189,False
DQB106,618,528,False
DQB1_Other,0,0,True
DRB101,177,84,False
DRB103,241,121,False
DRB104,436,276,False
DRB107,180,70,False
DRB108,156,76,False
DRB111,396,221,False
DRB112,126,62,False
DRB113,400,219,False
DRB114,305,192,False
DRB115,250,128,False
DRB116,92,50,False
DRB1_Other,125,48,False
DRB3_Other,494,343,False
DRB4_Other,215,100,False
DRB5_Other,195,99,False
