true_label,DQB102,DQB103,DQB104,DQB105,DQB106,DQB1_Other,DRB101,DRB103,DRB104,DRB107,DRB108,DRB111,DRB112,DRB113,DRB114,DRB115,DRB116,DRB1_Other,DRB3_Other,DRB4_Other,DRB5_Other
DQB102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DQB103,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DQB104,0.0,0.075,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DQB105,0.0,0.0,0.0,0.99524,0.00476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DQB106,0.0,0.0,0.0,0.00162,0.99838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DQB1_Other,,,,,,,,,,,,,,,,,,,,,
DRB101,0.0,0.0,0.0,0.0,0.0,0.0,0.99435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00565,0.0,0.0,0.0
DRB103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90041,0.0,0.0,0.0,0.00415,0.0,0.0083,0.08299,0.0,0.0,0.0,0.00415,0.0,0.0
DRB104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99312,0.0,0.0,0.00229,0.0,0.0,0.00459,0.0,0.0,0.0,0.0,0.0,0.0
DRB107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRB108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92949,0.01282,0.01282,0.04487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRB111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00505,0.0,0.00253,0.95707,0.0,0.00758,0.02778,0.0,0.0,0.0,0.0,0.0,0.0
DRB112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99206,0.0,0.0,0.0,0.0,0.0,0.00794,0.0,0.0
DRB113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0025,0.0,0.965,0.015,0.0,0.0,0.0,0.0025,0.0,0.0
DRB114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00984,0.00984,0.0,0.0,0.0,0.0,0.0459,0.9082,0.0,0.0,0.0,0.02623,0.0,0.0
DRB115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992,0.008,0.0,0.0,0.0,0.0
DRB116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06522,0.93478,0.0,0.0,0.0,0.0
DRB1_Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DRB3_Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00202,0.0,0.0,0.0,0.00202,0.0,0.0,0.0,0.0,0.0,0.0,0.99595,0.0,0.0
DRB4_Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DRB5_Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00513,0.0,0.0,0.99487
