analysis,scope,ensemble_id,dropped_seed,n,mean_top_locus_probability,mean_mass_A,argmax_count_A,mean_mass_B,argmax_count_B,mean_mass_C,argmax_count_C,locus_order_by_mass,locus_order_by_argmax,mean_mass_DRB1,argmax_count_DRB1,mean_mass_DQB1,argmax_count_DQB1,mean_mass_DRB3,argmax_count_DRB3,mean_mass_DRB4,argmax_count_DRB4,mean_mass_DRB5,argmax_count_DRB5,mean_mass_DPB1,argmax_count_DPB1
class1,ALL,drop42,42,260,0.605,0.3284,93.0,0.4417,135.0,0.2298,32.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-1,drop42,42,89,0.6179,0.3625,35.0,0.3883,40.0,0.2492,14.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-11,drop42,42,2,0.4524,0.3217,0.0,0.4524,2.0,0.2259,0.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-12,drop42,42,6,0.3932,0.3795,4.0,0.2569,1.0,0.3637,1.0,A > C > B,A > B > C,,,,,,,,,,,,
class1,SLA-2,drop42,42,97,0.6311,0.3202,33.0,0.4911,60.0,0.1887,4.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-3,drop42,42,43,0.5463,0.3751,21.0,0.3929,16.0,0.232,6.0,B > A > C,A > B > C,,,,,,,,,,,,
class1,SLA-6,drop42,42,10,0.7095,0.0782,0.0,0.7095,10.0,0.2123,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-7,drop42,42,3,0.721,0.049,0.0,0.721,3.0,0.2299,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-8,drop42,42,5,0.4587,0.1823,0.0,0.359,0.0,0.4587,5.0,C > B > A,C > A > B,,,,,,,,,,,,
class1,SLA-9,drop42,42,5,0.5572,0.2361,0.0,0.453,3.0,0.3109,2.0,B > C > A,B > C > A,,,,,,,,,,,,
class1,ALL,drop43,43,260,0.5929,0.2987,73.0,0.4741,163.0,0.2272,24.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-1,drop43,43,89,0.5888,0.3155,30.0,0.4368,48.0,0.2477,11.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-11,drop43,43,2,0.5443,0.2405,0.0,0.5443,2.0,0.2152,0.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-12,drop43,43,6,0.3859,0.305,1.0,0.3193,1.0,0.3757,4.0,C > B > A,C > A > B,,,,,,,,,,,,
class1,SLA-2,drop43,43,97,0.6298,0.3004,27.0,0.5081,66.0,0.1915,4.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-3,drop43,43,43,0.5566,0.3395,15.0,0.4423,26.0,0.2182,2.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-6,drop43,43,10,0.6713,0.1119,0.0,0.6713,10.0,0.2168,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-7,drop43,43,3,0.5993,0.0702,0.0,0.5993,3.0,0.3304,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-8,drop43,43,5,0.4357,0.1781,0.0,0.4163,3.0,0.4056,2.0,B > C > A,B > C > A,,,,,,,,,,,,
class1,SLA-9,drop43,43,5,0.5282,0.2638,0.0,0.4971,4.0,0.2391,1.0,B > A > C,B > C > A,,,,,,,,,,,,
class1,ALL,drop44,44,260,0.5965,0.3231,94.0,0.4755,156.0,0.2014,10.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-1,drop44,44,89,0.5867,0.3421,37.0,0.4357,46.0,0.2222,6.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-11,drop44,44,2,0.4317,0.3406,0.0,0.4317,2.0,0.2277,0.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-12,drop44,44,6,0.3953,0.3695,4.0,0.3221,1.0,0.3084,1.0,A > B > C,A > B > C,,,,,,,,,,,,
class1,SLA-2,drop44,44,97,0.6416,0.3094,31.0,0.5214,63.0,0.1692,3.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-3,drop44,44,43,0.5608,0.3874,22.0,0.4229,21.0,0.1897,0.0,B > A > C,A > B > C,,,,,,,,,,,,
class1,SLA-6,drop44,44,10,0.6626,0.1089,0.0,0.6626,10.0,0.2285,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-7,drop44,44,3,0.6193,0.0688,0.0,0.6193,3.0,0.3119,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-8,drop44,44,5,0.4737,0.2446,0.0,0.4737,5.0,0.2817,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-9,drop44,44,5,0.4871,0.2964,0.0,0.4871,5.0,0.2165,0.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,ALL,drop45,45,260,0.6464,0.3512,96.0,0.5028,154.0,0.146,10.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-1,drop45,45,89,0.6447,0.3783,39.0,0.4643,44.0,0.1574,6.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-11,drop45,45,2,0.5369,0.3528,0.0,0.5369,2.0,0.1102,0.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-12,drop45,45,6,0.4103,0.392,5.0,0.3551,1.0,0.2529,0.0,A > B > C,A > B > C,,,,,,,,,,,,
class1,SLA-2,drop45,45,97,0.6773,0.3363,32.0,0.5472,64.0,0.1165,1.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-3,drop45,45,43,0.6106,0.437,20.0,0.4196,22.0,0.1434,1.0,A > B > C,B > A > C,,,,,,,,,,,,
class1,SLA-6,drop45,45,10,0.7814,0.0974,0.0,0.7814,10.0,0.1212,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-7,drop45,45,3,0.734,0.0649,0.0,0.734,3.0,0.2012,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-8,drop45,45,5,0.4413,0.2209,0.0,0.4413,5.0,0.3378,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-9,drop45,45,5,0.5934,0.1816,0.0,0.5712,3.0,0.2472,2.0,B > C > A,B > C > A,,,,,,,,,,,,
class1,ALL,drop46,46,260,0.6416,0.2728,70.0,0.5304,169.0,0.1967,21.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-1,drop46,46,89,0.6345,0.3061,31.0,0.4833,49.0,0.2107,9.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-11,drop46,46,2,0.5886,0.2208,0.0,0.5886,2.0,0.1906,0.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-12,drop46,46,6,0.3803,0.3488,2.0,0.3478,3.0,0.3033,1.0,A > B > C,B > A > C,,,,,,,,,,,,
class1,SLA-2,drop46,46,97,0.682,0.2712,25.0,0.5725,71.0,0.1563,1.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-3,drop46,46,43,0.6066,0.2747,12.0,0.5101,27.0,0.2153,4.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-6,drop46,46,10,0.7609,0.0775,0.0,0.7609,10.0,0.1617,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-7,drop46,46,3,0.6812,0.0557,0.0,0.6812,3.0,0.2631,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-8,drop46,46,5,0.4342,0.184,0.0,0.3901,1.0,0.4259,4.0,C > B > A,C > B > A,,,,,,,,,,,,
class1,SLA-9,drop46,46,5,0.5638,0.2378,0.0,0.5128,3.0,0.2494,2.0,B > C > A,B > C > A,,,,,,,,,,,,
class1,ALL,full,(none),260,0.6091,0.3149,81.0,0.4849,160.0,0.2002,19.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-1,full,(none),89,0.6071,0.3409,33.0,0.4417,45.0,0.2174,11.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-11,full,(none),2,0.5108,0.2953,0.0,0.5108,2.0,0.1939,0.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-12,full,(none),6,0.3732,0.359,4.0,0.3202,1.0,0.3208,1.0,A > C > B,A > B > C,,,,,,,,,,,,
class1,SLA-2,full,(none),97,0.6471,0.3075,27.0,0.5281,68.0,0.1644,2.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-3,full,(none),43,0.5653,0.3627,17.0,0.4376,25.0,0.1997,1.0,B > A > C,B > A > C,,,,,,,,,,,,
class1,SLA-6,full,(none),10,0.7171,0.0948,0.0,0.7171,10.0,0.1881,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-7,full,(none),3,0.671,0.0617,0.0,0.671,3.0,0.2673,0.0,B > C > A,B > A > C,,,,,,,,,,,,
class1,SLA-8,full,(none),5,0.4248,0.202,0.0,0.4161,3.0,0.382,2.0,B > C > A,B > C > A,,,,,,,,,,,,
class1,SLA-9,full,(none),5,0.5359,0.2432,0.0,0.5043,3.0,0.2526,2.0,B > C > A,B > C > A,,,,,,,,,,,,
class2,ALL,drop42,42,152,0.7341,,,,,,,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,0.6545,118.0,0.212,34.0,0.0543,0.0,0.0358,0.0,0.0357,0.0,0.0077,0.0
class2,SLA-DQB1,drop42,42,53,0.6378,,,,,,,DQB1 > DRB1 > DRB4 > DRB5 > DPB1 > DRB3,DQB1 > DRB1 > DRB3 > DRB4 > DRB5 > DPB1,0.4096,19.0,0.5544,34.0,0.0048,0.0,0.0141,0.0,0.0103,0.0,0.0067,0.0
class2,SLA-DRB1,drop42,42,99,0.7856,,,,,,,DRB1 > DRB3 > DRB5 > DRB4 > DQB1 > DPB1,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,0.7856,99.0,0.0288,0.0,0.0808,0.0,0.0474,0.0,0.0492,0.0,0.0081,0.0
class2,ALL,drop43,43,152,0.7183,,,,,,,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,0.6386,110.0,0.2054,34.0,0.0824,8.0,0.0344,0.0,0.032,0.0,0.0072,0.0
class2,SLA-DQB1,drop43,43,53,0.637,,,,,,,DQB1 > DRB1 > DRB4 > DRB5 > DPB1 > DRB3,DQB1 > DRB1 > DRB3 > DRB4 > DRB5 > DPB1,0.4242,19.0,0.5379,34.0,0.0044,0.0,0.0142,0.0,0.0115,0.0,0.0078,0.0
class2,SLA-DRB1,drop43,43,99,0.7619,,,,,,,DRB1 > DRB3 > DRB4 > DRB5 > DQB1 > DPB1,DRB1 > DRB3 > DQB1 > DRB4 > DRB5 > DPB1,0.7534,91.0,0.0274,0.0,0.1241,8.0,0.0451,0.0,0.043,0.0,0.0069,0.0
class2,ALL,drop44,44,152,0.7286,,,,,,,DRB1 > DQB1 > DRB3 > DRB5 > DRB4 > DPB1,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,0.6498,116.0,0.1881,28.0,0.0828,8.0,0.0341,0.0,0.037,0.0,0.0083,0.0
class2,SLA-DQB1,drop44,44,53,0.6856,,,,,,,DQB1 > DRB1 > DRB4 > DRB5 > DPB1 > DRB3,DQB1 > DRB1 > DRB3 > DRB4 > DRB5 > DPB1,0.4782,25.0,0.4832,28.0,0.0048,0.0,0.0139,0.0,0.0124,0.0,0.0076,0.0
class2,SLA-DRB1,drop44,44,99,0.7516,,,,,,,DRB1 > DRB3 > DRB5 > DRB4 > DQB1 > DPB1,DRB1 > DRB3 > DQB1 > DRB4 > DRB5 > DPB1,0.7416,91.0,0.0301,0.0,0.1246,8.0,0.0449,0.0,0.0502,0.0,0.0086,0.0
class2,ALL,drop45,45,152,0.7451,,,,,,,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,0.6652,117.0,0.2001,33.0,0.0701,2.0,0.0316,0.0,0.0251,0.0,0.0079,0.0
class2,SLA-DQB1,drop45,45,53,0.6675,,,,,,,DQB1 > DRB1 > DRB4 > DRB5 > DPB1 > DRB3,DQB1 > DRB1 > DRB3 > DRB4 > DRB5 > DPB1,0.4416,20.0,0.5232,33.0,0.0031,0.0,0.0158,0.0,0.009,0.0,0.0073,0.0
class2,SLA-DRB1,drop45,45,99,0.7867,,,,,,,DRB1 > DRB3 > DRB4 > DRB5 > DQB1 > DPB1,DRB1 > DRB3 > DQB1 > DRB4 > DRB5 > DPB1,0.7848,97.0,0.0271,0.0,0.1059,2.0,0.0401,0.0,0.0338,0.0,0.0082,0.0
class2,ALL,drop46,46,152,0.7738,,,,,,,DRB1 > DQB1 > DRB3 > DRB5 > DRB4 > DPB1,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,0.6448,117.0,0.2292,35.0,0.0494,0.0,0.0319,0.0,0.0377,0.0,0.0071,0.0
class2,SLA-DQB1,drop46,46,53,0.7154,,,,,,,DQB1 > DRB1 > DRB4 > DRB5 > DPB1 > DRB3,DQB1 > DRB1 > DRB3 > DRB4 > DRB5 > DPB1,0.3452,18.0,0.6142,35.0,0.0053,0.0,0.0149,0.0,0.0134,0.0,0.0069,0.0
class2,SLA-DRB1,drop46,46,99,0.8051,,,,,,,DRB1 > DRB3 > DRB5 > DRB4 > DQB1 > DPB1,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,0.8051,99.0,0.023,0.0,0.073,0.0,0.041,0.0,0.0507,0.0,0.0071,0.0
class2,ALL,full,(none),152,0.7364,,,,,,,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,DRB1 > DQB1 > DRB3 > DRB4 > DRB5 > DPB1,0.6506,116.0,0.207,34.0,0.0678,2.0,0.0335,0.0,0.0335,0.0,0.0076,0.0
class2,SLA-DQB1,full,(none),53,0.6648,,,,,,,DQB1 > DRB1 > DRB4 > DRB5 > DPB1 > DRB3,DQB1 > DRB1 > DRB3 > DRB4 > DRB5 > DPB1,0.4198,19.0,0.5426,34.0,0.0045,0.0,0.0146,0.0,0.0113,0.0,0.0073,0.0
class2,SLA-DRB1,full,(none),99,0.7748,,,,,,,DRB1 > DRB3 > DRB5 > DRB4 > DQB1 > DPB1,DRB1 > DRB3 > DQB1 > DRB4 > DRB5 > DPB1,0.7741,97.0,0.0273,0.0,0.1017,2.0,0.0437,0.0,0.0454,0.0,0.0078,0.0
