query_locus,subject_locus,mean,sd,n,max,median
SLA-1,A,75.07640449438202,1.6177300645650798,89,81.6,74.7
SLA-1,B,74.56067415730337,2.001341480648789,89,81.1,74.1
SLA-1,C,76.03033707865168,1.5322595091134688,89,81.1,75.8
SLA-11,A,53.95,0.3535533905932738,2,54.2,53.95
SLA-11,B,54.9,0.0,2,54.9,54.9
SLA-11,C,53.15,0.3535533905932738,2,53.4,53.15
SLA-12,A,74.16666666666667,0.8778762251403468,6,75.2,73.94999999999999
SLA-12,B,74.3,1.1865917579353122,6,75.7,74.65
SLA-12,C,76.03333333333333,0.8286535263104018,6,77.1,76.15
SLA-2,A,75.22577319587629,1.6932635125768356,97,79.3,75.1
SLA-2,B,75.50721649484535,2.0493519007379932,97,81.1,75.1
SLA-2,C,76.02474226804124,1.4023069480795949,97,79.4,76.1
SLA-3,A,75.74186046511628,1.081056044126591,43,78.8,75.8
SLA-3,B,75.37674418604651,1.7157307493979561,43,80.1,74.9
SLA-3,C,76.77674418604651,1.527188080427916,43,80.1,76.5
SLA-6,A,63.379999999999995,1.2407882799073966,10,66.7,63.15
SLA-6,B,65.44,0.8859395514869457,10,67.7,65.2
SLA-6,C,65.09,1.2050357302217698,10,68.4,64.85
SLA-7,A,69.7,0.6082762530298266,3,70.4,69.4
SLA-7,B,70.36666666666667,0.3511884584284232,3,70.7,70.4
SLA-7,C,71.60000000000001,0.5291502622129183,3,72.2,71.4
SLA-8,A,69.0,0.6892024376045115,5,69.7,69.3
SLA-8,B,71.32000000000001,0.3033150177620666,5,71.5,71.5
SLA-8,C,70.32,0.5310367218940694,5,71.1,70.3
SLA-9,A,75.775,3.619737559547652,4,81.1,74.5
SLA-9,B,77.675,2.9181900783419352,4,81.0,77.45
SLA-9,C,71.1,8.426545357776622,4,79.7,72.6
