panel_name,hla_model_file,sla_model_file,hla_model_sha256,sla_model_sha256,n_hla_CA,n_sla_CA,hla_sequence_sha256,sla_sequence_sha256,aligner,alignment_command,alignment_length,identical_residues_numerator,n_positions_both_present,percent_identity_over_shared_positions
class1_A,HLA_A02_A_02_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,SLA_A02_SLA-1_02_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,4920cc35c6e80211ee849e4c6cf6978817e80838ec5300672a23ceedaf6c5f86,df3003498316e110120830a97b76255539e83245a80017850cadba34e131b7f1,308,305,12f3fd1fc7941287eb5f3ca5c7b77c941911523fdd33469bb3f5280ce24a0a2c,44dff0d5db0e3f1004cec83ed926d564703cc4d92dc7f949458d5be6a963ade1,v7.526 (2024/Apr/26),mafft --quiet --auto,309,218,304,71.71
class1_B,HLA_A03_A_03_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,SLA_A03_SLA-2_01_02_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,c1f1cf86c2deaa61b4c3d0ac55ae9cb138830be7142d9df7542dd016635835fe,4d3b97dcdbe5ec0d8cc45851de092ff7c5b21595e7fc12dab6dba11621cac6f0,308,305,d49b712c2e0be539555cd15be2c9a30ddc80442c7b936b203231da93f4897d9b,5321a85c88859572cc8288af96abe50805d6d4a21b17bc0d73cf97f33df96afb,v7.526 (2024/Apr/26),mafft --quiet --auto,308,238,305,78.03
class1_C,HLA_B08_B_08_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,SLA_B08_SLA-3_01_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,2586504c537c6d097eb979ce4cfa8874986f0c672a6e30fbfdfb741f3e046c6f,15072ad1dc1c04c02eb9b3011f055b07cc983c7abdf4f768405d364c76bed7c6,306,304,c9288b9cb762e804596a9b107e22bc4d857709811e197fa9a3ff22ea21a0b363,0665a7da9fab839631bce218b20a0c9ceccc9956479a901853c0432efb238d86,v7.526 (2024/Apr/26),mafft --quiet --auto,307,229,303,75.58
class1_D,HLA_B15_B_15_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,SLA_B15_SLA-1_01_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,b829082371e162976100b04d945aacbc2e275300ef47eca3f2ddc6cd97251dbd,1c964e9d05884bcc8be8bfafa2f3251ff814c98bda28e97f4fb797f586edc97e,307,304,5ab5f6b345e2a860f66c840e68eb62847d538a6e650fd92e4b0a80e9411ca693,0c7e97d7a5ea1a909675c5ba9dfed01c55a550abaff782bbc834810bc33c8139,v7.526 (2024/Apr/26),mafft --quiet --auto,307,225,304,74.01
class1_E,HLA_B57_B_57_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,SLA_B57_SLA-2_01_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,779180b98dc86ce7573884ccf16b0ebac0dfc70f2ca2175c8113c000f7e367b5,4ef6c0e3137ce15c7eef978444a3cdfdc8c6a57f4680a6e547a2c9f73f7443c5,307,304,96d0b9b5671011d2f47e9c11d36b77df63e2f70a8a0b7db8b3012c0738d5d5a3,68951f27dcd399f3d1c68affe1c721665345e28c94a5324c3c7237b405373581,v7.526 (2024/Apr/26),mafft --quiet --auto,307,227,304,74.67
class1_F,HLA_C07_C_07_02_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,SLA_C07_SLA-3_06_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,3b82887c61b0f4639a4998b7b53aa7a5d5a0a07f754e11c448ae1523e759981f,22e199ccf66db8ef2393732d3debcfcd7ba448f814c01abfd65a436477b9444e,307,303,d43b28ca710e53665fd2a01efffa6c5307d55651cad8e634cffc84718f021678,60878dc4963ddd6e3ce218cf8097df94563d5c6013f915f4eda3d8a76fa120c1,v7.526 (2024/Apr/26),mafft --quiet --auto,307,227,303,74.92
class1_F_alt,C07_C0701_unrelaxed_CUSTOM_B.pdb,SLA_C07_SLA-3_06_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,7334604f12f16147eaa34ba235606322a4a4f88c3c90fa703ae9bd271df24a9b,22e199ccf66db8ef2393732d3debcfcd7ba448f814c01abfd65a436477b9444e,309,303,6fe51cc1b87935f1c98ab99ea3fb1ac916683544409b987fcae13cdac9d86c5d,60878dc4963ddd6e3ce218cf8097df94563d5c6013f915f4eda3d8a76fa120c1,v7.526 (2024/Apr/26),mafft --quiet --auto,309,229,303,75.58
class2_A,HLA_DRB101_DRB1_01_02_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,SLA_DRB101_SLA-DRB1_01_01_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,088ea4e045f18c8a91a591a8ef06a44583ebfe595bcb7e58b65084c1e4e86d00,8ed961e0e5f0f8852f431624205958c38a1781ef437e3f17b5437ddbe81b2f8f,215,215,603a064c603b6528534faf36786e6c975eeb1041b6831e6fa85a5f117c57caf1,2730f66a95c98aab629f19ea33540153ffeaec2183ec93542c93b93833dc8721,v7.526 (2024/Apr/26),mafft --quiet --auto,215,176,215,81.86
class2_B,HLA_DRB111_DRB1_11_04_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,SLA_DRB111_SLA-DRB1_04_02_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,38785a69a61ddd4355735600e2460f57a52bb64cf848642e7b10e93d9fa0e308,bb1bd0bae7fa664a672531325de01086a9b909dc478f89498ef6f2eea8c51ea6,215,215,5b599da1e0e82935c4ffa1da76a3de29ab6346f680bc0a769d2d8b38b35b77f6,6def479a43840258f51b6e9f7fdfdc1befbf7f2a54adef8a57b151311c1c59c4,v7.526 (2024/Apr/26),mafft --quiet --auto,215,169,215,78.6
class2_C,HLA_DQB102_DQB1_02_02_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,SLA_DQB102_SLA-DQB1_02_02_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,0162049a8616fc6808aea7f3227275fbc1a4f786a9b265975fe4caf14ef9c134,bdf1fc9ee051281acdd044be6e9926cabcf8da21f533cf6c88d2dc25bda8dd06,215,215,59a653535dd2c95dc7e9197bbf0a6d023fd6342fb88e615e55d07eb5c8a625fc,f51cbb33cd15ac74a1b71b56f7345b5b83987051e362a1d476a5ad34b7b019e0,v7.526 (2024/Apr/26),mafft --quiet --auto,215,175,215,81.4
