query_locus,subject_locus,Maximum Identity,sd,n,max,median,SLA Locus,HLA Locus,error_bar_halfwidth,error_bar_source,panel
SLA-1,A,75.07640449438202,1.6177300645650798,89,81.6,74.7,SLA-1,HLA-A,0.33609892601686114,normal approximation,1B
SLA-1,B,74.56067415730337,2.001341480648789,89,81.1,74.1,SLA-1,HLA-B,0.41579787442467514,normal approximation,1B
SLA-1,C,76.03033707865168,1.5322595091134688,89,81.1,75.8,SLA-1,HLA-C,0.3183415989308531,normal approximation,1B
SLA-2,A,75.22577319587629,1.6932635125768356,97,79.3,75.1,SLA-2,HLA-A,0.33697272835489206,normal approximation,1B
SLA-2,B,75.50721649484535,2.0493519007379932,97,81.1,75.1,SLA-2,HLA-B,0.4078371123110284,normal approximation,1B
SLA-2,C,76.02474226804124,1.4023069480795949,97,79.4,76.1,SLA-2,HLA-C,0.27907008848627773,normal approximation,1B
SLA-3,A,75.74186046511628,1.081056044126591,43,78.8,75.8,SLA-3,HLA-A,0.3231246223103036,normal approximation,1B
SLA-3,B,75.37674418604651,1.7157307493979561,43,80.1,74.9,SLA-3,HLA-B,0.5128271132633984,normal approximation,1B
SLA-3,C,76.77674418604651,1.527188080427916,43,80.1,76.5,SLA-3,HLA-C,0.45647223783273405,normal approximation,1B
SLA-6,A,63.379999999999995,1.2407882799073966,10,66.7,63.15,SLA-6,HLA-A,0.7690485434757823,normal approximation,1B
SLA-6,B,65.44,0.8859395514869457,10,67.7,65.2,SLA-6,HLA-B,0.5491110229776454,normal approximation,1B
SLA-6,C,65.09,1.2050357302217698,10,68.4,64.85,SLA-6,HLA-C,0.7468888835994585,normal approximation,1B
SLA-7,A,69.7,0.6082762530298266,3,70.4,69.4,SLA-7,HLA-A,0.6883293785197175,normal approximation,1B
SLA-7,B,70.36666666666667,0.3511884584284232,3,70.7,70.4,SLA-7,HLA-B,0.3974071519794821,normal approximation,1B
SLA-7,C,71.60000000000001,0.5291502622129183,3,72.2,71.4,SLA-7,HLA-C,0.5987898908075633,normal approximation,1B
SLA-8,A,69.0,0.6892024376045115,5,69.7,69.3,SLA-8,HLA-A,0.6041125722909599,normal approximation,1B
SLA-8,B,71.32000000000001,0.3033150177620666,5,71.5,71.5,SLA-8,HLA-B,0.2658673353385145,normal approximation,1B
SLA-8,C,70.32,0.5310367218940694,5,71.1,70.3,SLA-8,HLA-C,0.46547420981188564,normal approximation,1B
SLA-9,A,75.775,3.619737559547652,4,81.1,74.5,SLA-9,HLA-A,3.547342808356699,normal approximation,1B
SLA-9,B,77.675,2.9181900783419352,4,81.0,77.45,SLA-9,HLA-B,2.8598262767750966,normal approximation,1B
SLA-9,C,71.1,8.426545357776622,4,79.7,72.6,SLA-9,HLA-C,8.258014450621088,normal approximation,1B
SLA-11,A,53.95,0.3535533905932738,2,54.2,53.95,SLA-11,HLA-A,0.48999999999999994,normal approximation,1B
SLA-11,B,54.9,0.0,2,54.9,54.9,SLA-11,HLA-B,0.0,normal approximation,1B
SLA-11,C,53.15,0.3535533905932738,2,53.4,53.15,SLA-11,HLA-C,0.48999999999999994,normal approximation,1B
SLA-12,A,74.16666666666667,0.8778762251403468,6,75.2,73.94999999999999,SLA-12,HLA-A,0.7024472775787353,normal approximation,1B
SLA-12,B,74.3,1.1865917579353122,6,75.7,74.65,SLA-12,HLA-B,0.9494711510449784,normal approximation,1B
SLA-12,C,76.03333333333333,0.8286535263104018,6,77.1,76.15,SLA-12,HLA-C,0.6630609155860236,normal approximation,1B
SLA-DRB1,DRB1,80.59591836734694,4.467636621633201,98,92.1,79.05,SLA-DRB1,HLA-DRB1,0.8845469222895744,normal approximation,1C
SLA-DRB1,DRB3,75.38979591836734,3.0526814238382443,98,83.6,75.2,SLA-DRB1,HLA-DRB3,0.6044000859675037,normal approximation,1C
SLA-DRB1,DRB4,70.0561224489796,3.8009240961707924,98,78.3,71.2,SLA-DRB1,HLA-DRB4,0.7525445768897606,normal approximation,1C
SLA-DRB1,DRB5,76.19591836734693,3.179084948010903,98,83.3,75.9,SLA-DRB1,HLA-DRB5,0.6294267069178459,normal approximation,1C
SLA-DRB1,DQB1,66.45510204081633,3.5948164987358413,98,74.6,65.4,SLA-DRB1,HLA-DQB1,0.7117373545456707,normal approximation,1C
SLA-DRB1,DPB1,65.7438775510204,5.151239793247064,98,76.7,64.2,SLA-DRB1,HLA-DPB1,1.0198934450104367,normal approximation,1C
SLA-DQB1,DRB1,68.06415094339623,3.832607785609737,53,77.5,67.5,SLA-DQB1,HLA-DRB1,1.0318403669779599,normal approximation,1C
SLA-DQB1,DRB3,64.34150943396226,2.774432302448706,53,68.8,64.3,SLA-DQB1,HLA-DRB3,0.7469512679755554,normal approximation,1C
SLA-DQB1,DRB4,62.986792452830194,2.4424953929449518,53,66.7,63.4,SLA-DQB1,HLA-DRB4,0.657584987449307,normal approximation,1C
SLA-DQB1,DRB5,65.9245283018868,3.5009287592106477,53,75.3,65.5,SLA-DQB1,HLA-DRB5,0.9425435154703431,normal approximation,1C
SLA-DQB1,DQB1,78.55849056603775,2.7619275572759006,53,83.1,79.1,SLA-DQB1,HLA-DQB1,0.7435846566315718,normal approximation,1C
SLA-DQB1,DPB1,66.1622641509434,2.366775347232399,53,70.8,66.3,SLA-DQB1,HLA-DPB1,0.6371991290139654,normal approximation,1C
