table,column,dtype,n_non_null,example,description
S1,sla_allele,object,82,SLA-1*01:01,SLA allele as named in the pinned IPD-MHC release
S1,sla_locus,object,82,SLA-1,SLA locus
S1,mhc_class,object,82,I,MHC class of the SLA locus
S1,haplotype,object,82,Hp-1a.1,the SLA haplotype this row is reported under
S1,haplotypes,object,82,Hp-1a.1,every curated haplotype in which this allele occurs
S1,herd,object,82,commercial,population or line the haplotype is described in
S1,local_name,object,25,a,herd-local haplotype designation where one exists
S1,n_ciwd_hits,int64,82,13219,number of CIWD 3.0 HLA alleles compared against
S1,nearest_hla,object,79,C*12:02:15,highest-identity CIWD 3.0 HLA allele
S1,nearest_identity,float64,79,76.1,percent amino-acid identity to the nearest HLA allele (DIAMOND)
S1,nearest_category,object,79,C,CIWD 3.0 frequency category of the nearest allele
S1,most_distant_hla,object,79,DQB1*06:103,lowest-identity CIWD 3.0 HLA allele with a reported alignment
S1,most_distant_identity,float64,79,24.6,percent amino-acid identity to that allele
S1,most_distant_category,object,79,WD,CIWD 3.0 frequency category of the most distant allele
S1,data_availability_note,object,3,allele name absent from the pinned IPD-MHC release; see cohort_reconciliation.csv,"why no identity is reported, for the three rows without one"
S2,analysis,object,10,class1,class1 or class2 classifier
S2,seed,int64,10,42,random seed of this ensemble member (42-46)
S2,n_train,int64,10,15053,training records for this member
S2,n_val,int64,10,2791,held-out human validation records for this member
S2,val_accuracy,float64,10,0.9262,held-out human HLA validation accuracy of this member
S2,val_loss,float64,10,0.387,held-out validation cross-entropy of this member
S2,starved_labels,object,5,C_Other,labels with no validation side under the cluster hold-out
S2,device,object,10,cuda,hardware the member was trained on
S2,arm,object,10,armC_dedup_cluster,training arm; armC_dedup_cluster is the canonical protocol
S2,description,object,10,"one record per distinct protein sequence, 99%-identity clusters held out whole (CANONICAL)",what the arm does
S2,dedup,bool,10,True,whether records sharing an identical protein sequence were collapsed
S2,split_strategy,object,10,cluster,"random record split, or 99%-identity clusters held out whole"
S2,n_records,int64,10,17844,records entering the split
S2,n_distinct_sequences,int64,10,17844,distinct protein sequences among them
S2,n_clusters_99,int64,10,1664,99%-identity clusters formed
S2,n_train_split,int64,10,15053,training records in that seed's split
S2,n_validation,int64,10,2791,validation records under this arm
S2,actual_val_fraction,float64,10,0.1564,realised validation fraction
S2,n_labels,int64,10,54,labels in the label space
S2,labels_in_validation,int64,10,53,labels represented on the validation side
S2,labels_absent_from_validation,object,5,C_Other,labels with no validation side
S2,exact_sequence_val_share,float64,10,0.0,share of validation records whose exact protein sequence also appears in training
S2,cluster_99_val_share,float64,10,0.0,share of validation records sharing a 99%-identity cluster with training
S2,two_field_val_share,float64,10,0.042279,share of validation records sharing a two-field allele group with training
S2,val_accuracy_mean,float64,10,0.9035,mean validation accuracy across the five members
S2,val_accuracy_std,float64,10,0.0168,standard deviation across the five members
S2,val_accuracy_min,float64,10,0.8852,lowest member accuracy
S2,val_accuracy_max,float64,10,0.9262,highest member accuracy
S3,analysis,object,14,class1,class1 or class2
S3,scope,object,14,ALL,"ALL, or the HLA comparator locus the rows were restricted to"
S3,reading,object,14,agree_gap_skip,agree_gap_skip (primary) or agree_gap_mismatch (sensitivity)
S3,n_sla,int64,14,259,SLA proteins contributing
S3,n_hla,int64,14,42,distinct HLA comparators
S3,n_pairs,int64,14,259,"identity-defined (SLA, HLA) pairs"
S3,n_eplet_positions,int64,14,61,aligned positions carrying a registry eplet
S3,n_other_positions,int64,14,249,aligned positions not carrying one
S3,n_eplet_observations,int64,14,14992,pair x position observations at eplet-associated positions
S3,n_other_observations,int64,14,56379,pair x position observations elsewhere
S3,eplet_mean,float64,14,0.5901,mean cross-species residue agreement at eplet-associated positions
S3,other_mean,float64,14,0.7817,mean agreement at other positions
S3,difference,float64,14,-0.1915,eplet_mean minus other_mean
S3,boot_ci_low,float64,14,-0.1968,"lower 95% limit, resampling whole (SLA, HLA) pairs"
S3,boot_ci_high,float64,14,-0.1869,upper 95% limit
S3,n_bootstrap,int64,14,2000,bootstrap resamples
S3,profile_difference,float64,14,-0.1783,"the same contrast on the per-locus mean profile, which the permutation shifts"
S3,n_shifts,int64,14,10000,circular shifts of the eplet mask within each locus
S3,n_shifts_at_least_as_extreme,int64,14,0,shifts reaching or exceeding the observed contrast
S3,circular_shift_p,float64,14,9.999000099990002e-05,"Two-sided finite-permutation p-value: (n_shifts_at_least_as_extreme + 1)/(n_shifts + 1), recomputed from integer counts for consistent reporting."
S3,circular_shift_p_reported,object,14,p < 1e-04,Formatted finite-permutation p-value; zero exceedances are reported as p < 1e-04.
S3,p_estimator,object,14,(extreme + 1) / (shifts + 1); floor 1/(N+1),"the estimator, stated so the floor is explicit"
S3,mannwhitney_p_descriptive,float64,14,0.0,"position-level Mann-Whitney; descriptive only, independence is violated"
S3,max_pairs_per_hla,int64,14,151,largest number of SLA proteins sharing one HLA comparator
