analysis,sla_locus,hla_subgroup,mean_probability,rendered
class1,SLA-8,B35,0.000343,True
class1,SLA-7,A02,0.000546,True
class1,SLA-6,B15,0.000559,True
class1,SLA-11,B35,0.000584,True
class1,SLA-6,B35,0.000594,True
class1,SLA-11,B18,0.000606,True
class1,SLA-8,A11,0.000631,True
class1,SLA-6,C06,0.000918,True
class1,SLA-8,A03,0.000938,True
class1,SLA-6,A03,0.001071,True
class1,SLA-12,B35,0.001092,True
class1,SLA-8,A01,0.001185,True
class1,SLA-8,B44,0.001341,True
class1,SLA-6,A68,0.001417,True
class1,SLA-6,C12,0.00142,True
class1,SLA-7,C04,0.001468,True
class1,SLA-11,C06,0.0015,True
class1,SLA-6,A11,0.00158,True
class1,SLA-3,A31,0.001645,True
class1,SLA-7,C07,0.001704,True
class1,SLA-7,A31,0.001736,True
class1,SLA-12,C07,0.001751,True
class1,SLA-6,A30,0.001772,True
class1,SLA-7,A29,0.001777,True
class1,SLA-11,C07,0.001814,True
class1,SLA-6,A02,0.001829,True
class1,SLA-6,B46,0.001839,True
class1,SLA-6,B51,0.001843,True
class1,SLA-8,B07,0.001885,True
class1,SLA-3,B38,0.001942,True
class1,SLA-8,C03,0.001956,True
class1,SLA-7,B35,0.00198,True
class1,SLA-3,B39,0.002007,True
class1,SLA-3,B52,0.002023,True
class1,SLA-7,A30,0.002096,True
class1,SLA-6,C03,0.002109,True
class1,SLA-12,C03,0.002138,True
class1,SLA-3,B51,0.002139,True
class1,SLA-8,B52,0.002283,True
class1,SLA-7,B18,0.00229,True
class1,SLA-6,A29,0.00231,True
class1,SLA-8,B13,0.002312,True
class1,SLA-6,B18,0.002347,True
class1,SLA-2,B35,0.002354,True
class1,SLA-11,B15,0.002391,True
class1,SLA-12,C06,0.0024,True
class1,SLA-7,C06,0.002432,True
class1,SLA-8,B51,0.002533,True
class1,SLA-1,B51,0.002651,True
class1,SLA-8,A26,0.002661,True
class1,SLA-6,A33,0.002676,True
class1,SLA-11,A11,0.002695,True
class1,SLA-12,A01,0.002724,True
class1,SLA-1,B39,0.002881,True
class1,SLA-6,A31,0.003004,True
class1,SLA-3,B35,0.003011,True
class1,SLA-1,B35,0.003038,True
class1,SLA-7,B44,0.003063,True
class1,SLA-11,B51,0.00309,True
class1,SLA-8,C06,0.003141,True
class1,SLA-12,B39,0.00317,True
class1,SLA-7,A11,0.003175,True
class1,SLA-3,A33,0.003187,True
class1,SLA-8,B49,0.003362,True
class1,SLA-6,B07,0.003386,True
class1,SLA-9,C_Other,0.003452,True
class1,SLA-12,A11,0.003535,True
class1,SLA-1,B38,0.003537,True
class1,SLA-1,C_Other,0.003551,True
class1,SLA-2,B39,0.003569,True
class1,SLA-11,B44,0.00359,True
class1,SLA-8,B50,0.00359,True
class1,SLA-2,A31,0.003593,True
class1,SLA-7,B52,0.003631,True
class1,SLA-8,B15,0.003637,True
class1,SLA-8,C04,0.003654,True
class1,SLA-3,B49,0.003657,True
class1,SLA-7,A26,0.003684,True
class1,SLA-11,C04,0.00369,True
class1,SLA-7,A_Other,0.003718,True
class1,SLA-8,B53,0.003793,True
class1,SLA-7,A23,0.003799,True
class1,SLA-9,A26,0.003811,True
class1,SLA-7,A33,0.003814,True
class1,SLA-3,B53,0.003933,True
class1,SLA-1,B53,0.003934,True
class1,SLA-7,A32,0.003971,True
class1,SLA-7,A03,0.004162,True
class1,SLA-6,C05,0.0042,True
class1,SLA-3,C_Other,0.004285,True
class1,SLA-6,C08,0.00429,True
class1,SLA-2,C_Other,0.004345,True
class1,SLA-3,B44,0.004414,True
class1,SLA-11,B39,0.004436,True
class1,SLA-6,B44,0.004442,True
class1,SLA-7,A25,0.004483,True
class1,SLA-8,A33,0.004575,True
class1,SLA-8,A31,0.004579,True
class1,SLA-3,A32,0.0046,True
class1,SLA-9,B53,0.004758,True
class1,SLA-3,B37,0.004775,True
class1,SLA-6,A32,0.004776,True
class1,SLA-8,C12,0.004818,True
class1,SLA-9,A33,0.004913,True
class1,SLA-9,B50,0.00492,True
class1,SLA-1,A31,0.004942,True
class1,SLA-3,C04,0.005065,True
class1,SLA-11,A26,0.005086,True
class1,SLA-8,B_Other,0.005231,True
class1,SLA-2,B38,0.005255,True
class1,SLA-1,B52,0.005322,True
class1,SLA-3,C01,0.005364,True
class1,SLA-11,A31,0.005369,True
class1,SLA-6,A01,0.005391,True
class1,SLA-9,C15,0.005468,True
class1,SLA-1,A32,0.005485,True
class1,SLA-9,B38,0.005542,True
class1,SLA-7,B15,0.005546,True
class1,SLA-9,A24,0.005591,True
class1,SLA-11,C14,0.005597,True
class1,SLA-12,A30,0.005609,True
class1,SLA-9,B55,0.005643,True
class1,SLA-12,B07,0.005647,True
class1,SLA-11,C12,0.005658,True
class1,SLA-3,C14,0.005851,True
class1,SLA-11,C05,0.005851,True
class1,SLA-3,A25,0.005879,True
class1,SLA-3,C02,0.005886,True
class1,SLA-7,B40,0.005891,True
class1,SLA-3,B14,0.006192,True
class1,SLA-7,B46,0.0062,True
class1,SLA-12,A31,0.006203,True
class1,SLA-3,B46,0.00621,True
class1,SLA-12,B56,0.006219,True
class1,SLA-11,A33,0.006253,True
class1,SLA-12,C_Other,0.006253,True
class1,SLA-9,B49,0.006257,True
class1,SLA-9,B35,0.006257,True
class1,SLA-12,B55,0.006282,True
class1,SLA-2,A32,0.006283,True
class1,SLA-8,A68,0.006287,True
class1,SLA-6,B53,0.006335,True
class1,SLA-12,B_Other,0.006354,True
class1,SLA-2,B18,0.006377,True
class1,SLA-9,B41,0.006425,True
class1,SLA-11,A32,0.006499,True
class1,SLA-9,A01,0.006501,True
class1,SLA-2,B53,0.006503,True
class1,SLA-8,B56,0.006536,True
class1,SLA-8,B55,0.006544,True
class1,SLA-2,C04,0.006549,True
class1,SLA-2,B51,0.00658,True
class1,SLA-11,A_Other,0.006618,True
class1,SLA-9,B39,0.006734,True
class1,SLA-8,C_Other,0.006755,True
class1,SLA-12,A26,0.006766,True
class1,SLA-1,B49,0.00679,True
class1,SLA-2,C06,0.006809,True
class1,SLA-7,A01,0.006926,True
class1,SLA-7,B49,0.006947,True
class1,SLA-12,B49,0.007019,True
class1,SLA-3,A30,0.00705,True
class1,SLA-7,C_Other,0.00707,True
class1,SLA-3,A26,0.007104,True
