analysis,sla_locus,hla_subgroup,hla_locus,n_sla_sequences,mean_ensemble_probability,summed_ensemble_probability,sd_across_seeds,loo_mean_min,loo_mean_max,frac_sequences_top_subgroup,mean_seeds_voting_this_subgroup,edge_weight_mean_mass,edge_weight_summed_mass,stability_inverse_cv,original_figure2_threshold_note
class1,SLA-1,A01,A,89,0.019054,1.695826,0.017242,0.013885,0.022715,0.0,0.0562,0.019054,1.695826,1.1051,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A02,A,89,0.06019,5.356943,0.054344,0.044893,0.074709,0.1461,0.3596,0.06019,5.356943,1.1076,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A03,A,89,0.069216,6.160268,0.116367,0.017589,0.085694,0.1011,0.4831,0.069216,6.160268,0.5948,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A11,A,89,0.008748,0.778537,0.006654,0.006479,0.010426,0.0,0.0225,0.008748,0.778537,1.3147,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A23,A,89,0.015498,1.379337,0.014609,0.010555,0.019199,0.0112,0.0899,0.015498,1.379337,1.0609,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A24,A,89,0.038896,3.46176,0.046159,0.021316,0.048243,0.0899,0.1798,0.038896,3.46176,0.8427,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A25,A,89,0.009753,0.86802,0.007743,0.007667,0.011983,0.0,0.0,0.009753,0.86802,1.2596,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A26,A,89,0.010932,0.972923,0.006789,0.008992,0.01353,0.0112,0.0449,0.010932,0.972923,1.6103,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A29,A,89,0.037709,3.356105,0.047013,0.0224,0.047069,0.0674,0.2697,0.037709,3.356105,0.8021,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A30,A,89,0.007724,0.687441,0.006345,0.005198,0.009449,0.0,0.0112,0.007724,0.687441,1.2173,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A31,A,89,0.004942,0.439796,0.003612,0.003896,0.00611,0.0,0.0112,0.004942,0.439796,1.3682,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
