query_locus,A,B,C,DRB1,DRB3,DRB4,DRB5,DQB1,DPB1,SLA-2,SLA-1,SLA-DRB1,SLA-DQB1,SLA-3,SLA-6,SLA-12,SLA-9,SLA-8,SLA-7,SLA-11
A,100.0,83.47,80.74,24.97,24.28,26.24,23.99,25.37,25.54,71.92,71.88,24.23,24.34,72.65,58.22,71.36,68.62,66.61,66.61,51.93
B,83.47,100.0,83.69,25.7,25.26,27.24,24.76,25.4,25.29,72.82,72.13,26.34,24.48,73.01,60.41,70.98,65.61,68.24,66.38,53.48
C,80.74,83.69,100.0,26.53,25.69,28.01,25.53,25.62,25.64,71.57,70.98,24.61,24.34,72.27,59.3,72.32,67.01,65.85,67.3,50.11
DRB1,24.97,25.7,26.53,100.0,90.03,86.85,88.47,64.56,62.31,28.45,28.33,75.07,64.67,30.25,25.59,29.96,,27.35,26.59,26.58
DRB3,24.28,25.26,25.69,90.03,100.0,85.23,86.61,62.7,60.75,27.43,27.29,73.33,62.37,28.91,24.96,29.62,,26.18,25.69,25.62
DRB4,26.24,27.24,28.01,86.85,85.23,100.0,85.66,63.39,60.88,28.17,28.35,68.71,61.95,29.17,27.45,28.88,,29.52,27.18,27.48
DRB5,23.99,24.76,25.53,88.47,86.61,85.66,100.0,65.92,60.86,28.35,27.8,74.42,64.5,28.85,25.82,27.73,,27.8,25.53,25.32
DQB1,25.37,25.4,25.62,64.56,62.7,63.39,65.92,100.0,63.78,27.38,27.29,62.01,74.49,28.49,25.71,26.9,,29.72,26.64,26.96
DPB1,25.54,25.29,25.64,62.31,60.75,60.88,60.86,63.78,100.0,26.64,26.34,62.0,63.06,28.77,26.29,27.09,,26.28,26.36,24.16
SLA-2,71.92,72.82,71.57,28.45,27.43,28.17,28.35,27.38,26.64,100.0,86.26,27.22,26.86,85.15,59.19,85.86,71.91,66.22,70.38,54.32
SLA-1,71.88,72.13,70.98,28.33,27.29,28.35,27.8,27.29,26.34,86.26,100.0,27.16,26.37,85.65,58.94,86.69,72.38,67.27,71.93,57.35
SLA-DRB1,24.23,26.34,24.61,75.07,73.33,68.71,74.42,62.01,62.0,27.22,27.16,100.0,64.38,27.65,23.84,27.41,,27.09,25.12,25.68
SLA-DQB1,24.34,24.48,24.34,64.67,62.37,61.95,64.5,74.49,63.06,26.86,26.37,64.38,100.0,27.91,24.97,25.94,,25.91,26.46,25.37
SLA-3,72.65,73.01,72.27,30.25,28.91,29.17,28.85,28.49,28.77,85.15,85.65,27.65,27.91,100.0,60.57,86.56,70.75,67.8,71.5,56.12
SLA-6,58.22,60.41,59.3,25.59,24.96,27.45,25.82,25.71,26.29,59.19,58.94,23.84,24.97,60.57,100.0,60.15,45.0,58.78,57.67,48.36
SLA-12,71.36,70.98,72.32,29.96,29.62,28.88,27.73,26.9,27.09,85.86,86.69,27.41,25.94,86.56,60.15,100.0,75.73,66.84,73.23,60.47
SLA-9,68.62,65.61,67.01,,,,,,,71.91,72.38,,,70.75,45.0,75.73,100.0,61.33,61.18,34.76
SLA-8,66.61,68.24,65.85,27.35,26.18,29.52,27.8,29.72,26.28,66.22,67.27,27.09,25.91,67.8,58.78,66.84,61.33,100.0,63.35,53.46
SLA-7,66.61,66.38,67.3,26.59,25.69,27.18,25.53,26.64,26.36,70.38,71.93,25.12,26.46,71.5,57.67,73.23,61.18,63.35,100.0,48.56
SLA-11,51.93,53.48,50.11,26.58,25.62,27.48,25.32,26.96,24.16,54.32,57.35,25.68,25.37,56.12,48.36,60.47,34.76,53.46,48.56,100.0
