analysis,sla_locus,hla_subgroup,hla_locus,n_sla_sequences,mean_ensemble_probability,median_ensemble_probability,summed_ensemble_probability,sd_across_seeds,loo_mean_min,loo_mean_max,frac_sequences_top_subgroup,n_sequences_top_subgroup,mean_seeds_voting_this_subgroup
class1,SLA-1,A01,A,89,0.019054,0.011755,1.695826,0.017242,0.013885,0.022715,0.0,0,0.0562
class1,SLA-1,A02,A,89,0.06019,0.035799,5.356943,0.054344,0.044893,0.074709,0.1461,13,0.3596
class1,SLA-1,A03,A,89,0.069216,0.027666,6.160268,0.116367,0.017589,0.085694,0.1011,9,0.4831
class1,SLA-1,A11,A,89,0.008748,0.003724,0.778537,0.006654,0.006479,0.010426,0.0,0,0.0225
class1,SLA-1,A23,A,89,0.015498,0.009882,1.379337,0.014609,0.010555,0.019199,0.0112,1,0.0899
class1,SLA-1,A24,A,89,0.038896,0.013694,3.46176,0.046159,0.021316,0.048243,0.0899,8,0.1798
class1,SLA-1,A25,A,89,0.009753,0.006875,0.86802,0.007743,0.007667,0.011983,0.0,0,0.0
class1,SLA-1,A26,A,89,0.010932,0.003676,0.972923,0.006789,0.008992,0.01353,0.0112,1,0.0449
class1,SLA-1,A29,A,89,0.037709,0.010329,3.356105,0.047013,0.0224,0.047069,0.0674,6,0.2697
class1,SLA-1,A30,A,89,0.007724,0.002053,0.687441,0.006345,0.005198,0.009449,0.0,0,0.0112
class1,SLA-1,A31,A,89,0.004942,0.001354,0.439796,0.003612,0.003896,0.00611,0.0,0,0.0112
class1,SLA-1,A32,A,89,0.005485,0.003149,0.488126,0.006359,0.002699,0.006703,0.0,0,0.0112
class1,SLA-1,A33,A,89,0.009172,0.002141,0.816291,0.009333,0.00561,0.01121,0.0,0,0.0225
class1,SLA-1,A68,A,89,0.02598,0.007149,2.31224,0.021259,0.02023,0.031065,0.0225,2,0.1348
class1,SLA-1,A_Other,A,89,0.017586,0.0049,1.565149,0.015139,0.012333,0.021537,0.0112,1,0.0674
class1,SLA-1,B07,B,89,0.034216,0.019477,3.045216,0.033081,0.024453,0.042469,0.0225,2,0.1461
class1,SLA-1,B08,B,89,0.014505,0.005473,1.290948,0.019114,0.00613,0.017659,0.0,0,0.0674
class1,SLA-1,B13,B,89,0.012929,0.002538,1.15068,0.016891,0.005821,0.015867,0.0225,2,0.0899
class1,SLA-1,B14,B,89,0.010393,0.003468,0.925014,0.011035,0.005742,0.012472,0.0,0,0.0562
