analysis,sla_allele,sla_locus,seed,hla_subgroup,hla_locus,probability
class1,SLA-1*01:01,SLA-1,42,A01,A,0.016073083505034447
class1,SLA-1*01:01,SLA-1,42,A02,A,0.00268168025650084
class1,SLA-1*01:01,SLA-1,42,A03,A,0.0022652423940598965
class1,SLA-1*01:01,SLA-1,42,A11,A,0.006132400594651699
class1,SLA-1*01:01,SLA-1,42,A23,A,0.004238953348249197
class1,SLA-1*01:01,SLA-1,42,A24,A,0.24836544692516327
class1,SLA-1*01:01,SLA-1,42,A25,A,0.0015441130381077528
class1,SLA-1*01:01,SLA-1,42,A26,A,0.002638659905642271
class1,SLA-1*01:01,SLA-1,42,A29,A,2.9182298021623865e-05
class1,SLA-1*01:01,SLA-1,42,A30,A,0.00048731788410805166
class1,SLA-1*01:01,SLA-1,42,A31,A,0.00023964446154423058
class1,SLA-1*01:01,SLA-1,42,A32,A,0.0030170371755957603
class1,SLA-1*01:01,SLA-1,42,A33,A,0.00032836507307365537
class1,SLA-1*01:01,SLA-1,42,A68,A,0.0037380335852503777
class1,SLA-1*01:01,SLA-1,42,A_Other,A,0.004763632081449032
class1,SLA-1*01:01,SLA-1,42,B07,B,0.0035798163153231144
class1,SLA-1*01:01,SLA-1,42,B08,B,0.002644509309902787
class1,SLA-1*01:01,SLA-1,42,B13,B,0.014104410074651241
class1,SLA-1*01:01,SLA-1,42,B14,B,0.0005165808834135532
class1,SLA-1*01:01,SLA-1,42,B15,B,0.10881268233060837
class1,SLA-1*01:01,SLA-1,42,B18,B,0.026137765496969223
class1,SLA-1*01:01,SLA-1,42,B27,B,0.0006988229579292238
class1,SLA-1*01:01,SLA-1,42,B35,B,0.004090066999197006
class1,SLA-1*01:01,SLA-1,42,B37,B,0.0030927343759685755
class1,SLA-1*01:01,SLA-1,42,B38,B,0.00026812442229129374
class1,SLA-1*01:01,SLA-1,42,B39,B,4.759648800245486e-05
class1,SLA-1*01:01,SLA-1,42,B40,B,0.3888397216796875
class1,SLA-1*01:01,SLA-1,42,B41,B,0.05086442083120346
class1,SLA-1*01:01,SLA-1,42,B44,B,0.00567144900560379
class1,SLA-1*01:01,SLA-1,42,B46,B,0.003074196632951498
class1,SLA-1*01:01,SLA-1,42,B49,B,0.0017208332428708673
class1,SLA-1*01:01,SLA-1,42,B50,B,0.004188155755400658
class1,SLA-1*01:01,SLA-1,42,B51,B,0.00021690486755687743
class1,SLA-1*01:01,SLA-1,42,B52,B,0.003804436419159174
class1,SLA-1*01:01,SLA-1,42,B53,B,0.00020088753080926836
class1,SLA-1*01:01,SLA-1,42,B55,B,4.2969350033672526e-05
class1,SLA-1*01:01,SLA-1,42,B56,B,0.00018181721679866314
class1,SLA-1*01:01,SLA-1,42,B57,B,0.011870086193084717
class1,SLA-1*01:01,SLA-1,42,B58,B,0.0005616946145892143
class1,SLA-1*01:01,SLA-1,42,B_Other,B,0.004500820301473141
class1,SLA-1*01:01,SLA-1,42,C01,C,0.011721266433596611
class1,SLA-1*01:01,SLA-1,42,C02,C,0.0015328355366364121
class1,SLA-1*01:01,SLA-1,42,C03,C,0.00015646882820874453
class1,SLA-1*01:01,SLA-1,42,C04,C,0.030531631782650948
class1,SLA-1*01:01,SLA-1,42,C05,C,0.00021972888498567045
class1,SLA-1*01:01,SLA-1,42,C06,C,0.0028005829080939293
class1,SLA-1*01:01,SLA-1,42,C07,C,0.004711172543466091
class1,SLA-1*01:01,SLA-1,42,C08,C,4.3962543713860214e-05
class1,SLA-1*01:01,SLA-1,42,C12,C,0.00012178160977782682
class1,SLA-1*01:01,SLA-1,42,C14,C,0.0016721140127629042
class1,SLA-1*01:01,SLA-1,42,C15,C,0.0015445946482941508
class1,SLA-1*01:01,SLA-1,42,C16,C,0.001952334656380117
class1,SLA-1*01:01,SLA-1,42,C17,C,0.0016013396671041846
