analysis,sla_locus,n,mean_top_locus_probability,median_top_locus_probability,mean_top_subgroup_probability,mean_locus_margin,mean_normalised_entropy,dominant_locus,share_dominant,frac_all_seeds_agree,frac_at_least_4_agree,frac_at_most_2_agree,mean_top_locus_sd_across_seeds,mean_mass_A,mean_mass_B,mean_mass_C,n_top_A,n_top_B,n_top_C,mean_mass_DPB1,mean_mass_DQB1,mean_mass_DRB1,mean_mass_DRB3,mean_mass_DRB4,mean_mass_DRB5,n_top_DQB1,n_top_DRB1,n_top_DRB3
class1,SLA-1,89,0.6071,0.6005,0.2089,0.3636,0.7343,B,0.5056,0.1573,0.4719,0.236,0.277,0.3409,0.4417,0.2174,33.0,45.0,11.0,,,,,,,,,
class1,SLA-11,2,0.5108,0.5108,0.1499,0.2155,0.8722,B,1.0,0.0,0.0,1.0,0.2664,0.2953,0.5108,0.1939,0.0,2.0,0.0,,,,,,,,,
class1,SLA-12,6,0.3732,0.3758,0.0993,0.0415,0.8896,A,0.6667,0.0,0.0,0.8333,0.1784,0.359,0.3202,0.3208,4.0,1.0,1.0,,,,,,,,,
class1,SLA-2,97,0.6471,0.6713,0.2182,0.4253,0.7558,B,0.701,0.299,0.567,0.1237,0.2381,0.3075,0.5281,0.1644,27.0,68.0,2.0,,,,,,,,,
class1,SLA-3,43,0.5653,0.5167,0.1951,0.2868,0.7552,B,0.5814,0.0,0.3721,0.3023,0.3318,0.3627,0.4376,0.1997,17.0,25.0,1.0,,,,,,,,,
class1,SLA-6,10,0.7171,0.717,0.1391,0.529,0.8009,B,1.0,0.9,1.0,0.0,0.2117,0.0948,0.7171,0.1881,0.0,10.0,0.0,,,,,,,,,
class1,SLA-7,3,0.671,0.6425,0.2035,0.4037,0.792,B,1.0,0.0,1.0,0.0,0.2625,0.0617,0.671,0.2673,0.0,3.0,0.0,,,,,,,,,
class1,SLA-8,5,0.4248,0.4244,0.0828,0.0516,0.8605,B,0.6,0.0,0.0,0.4,0.2295,0.202,0.4161,0.382,0.0,3.0,2.0,,,,,,,,,
class1,SLA-9,5,0.5359,0.5305,0.1913,0.2286,0.8118,B,0.6,0.0,0.4,0.2,0.3291,0.2432,0.5043,0.2526,0.0,3.0,2.0,,,,,,,,,
class1,(all),260,0.6091,0.6057,0.2016,0.3636,0.7576,B,0.6154,0.2,0.4923,0.2154,0.2666,0.3149,0.4849,0.2002,81.0,160.0,19.0,,,,,,,,,
class1,(published scope),260,0.6091,0.6057,0.2016,0.3636,0.7576,B,0.6154,0.2,0.4923,0.2154,0.2666,0.3149,0.4849,0.2002,81.0,160.0,19.0,,,,,,,,,
class2,SLA-DQB1,53,0.6648,0.6311,0.3614,0.3672,0.6412,DQB1,0.6415,0.1132,0.5094,0.0377,0.3462,,,,,,,0.0073,0.5426,0.4198,0.0045,0.0146,0.0113,34.0,19.0,0.0
class2,SLA-DRB1,99,0.7748,0.8196,0.4228,0.6445,0.5782,DRB1,0.9798,0.6667,0.8384,0.0404,0.1786,,,,,,,0.0078,0.0273,0.7741,0.1017,0.0437,0.0454,0.0,97.0,2.0
class2,(all),152,0.7364,0.7587,0.4014,0.5478,0.6002,DRB1,0.7632,0.4737,0.7237,0.0395,0.2371,,,,,,,0.0076,0.207,0.6506,0.0678,0.0335,0.0335,34.0,116.0,2.0
class2,(published scope),152,0.7364,0.7587,0.4014,0.5478,0.6002,DRB1,0.7632,0.4737,0.7237,0.0395,0.2371,,,,,,,0.0076,0.207,0.6506,0.0678,0.0335,0.0335,34.0,116.0,2.0
