query_locus,DMA,DMB,DOA,DOB,DPA1,DQA1,DRA,SLA-DRA,SLA-DQA
DMA,100.0,,32.07,,30.4,30.92,30.03,29.08,30.53
DMB,,100.0,31.08,25.38,30.88,33.45,36.75,31.25,34.4
DOA,32.07,31.08,100.0,,57.1,57.65,54.83,57.18,59.29
DOB,,25.38,,100.0,31.16,,30.4,31.2,
DPA1,30.4,30.88,57.1,31.16,100.0,57.83,60.42,61.22,58.34
DQA1,30.92,33.45,57.65,,57.83,100.0,55.38,57.62,79.07
DRA,30.03,36.75,54.83,30.4,60.42,55.38,100.0,82.6,54.56
SLA-DRA,29.08,31.25,57.18,31.2,61.22,57.62,82.6,100.0,59.06
SLA-DQA,30.53,34.4,59.29,,58.34,79.07,54.56,59.06,100.0
