query_locus,subject_locus,mean,sd,n,max,median
SLA-DQB1,DPB1,66.1622641509434,2.366775347232399,53,70.8,66.3
SLA-DQB1,DQB1,78.55849056603775,2.7619275572759006,53,83.1,79.1
SLA-DQB1,DRB1,68.06415094339623,3.832607785609737,53,77.5,67.5
SLA-DQB1,DRB3,64.34150943396226,2.774432302448706,53,68.8,64.3
SLA-DQB1,DRB4,62.986792452830194,2.4424953929449518,53,66.7,63.4
SLA-DQB1,DRB5,65.9245283018868,3.5009287592106477,53,75.3,65.5
SLA-DRB1,DPB1,65.7438775510204,5.151239793247064,98,76.7,64.2
SLA-DRB1,DQB1,66.45510204081633,3.5948164987358413,98,74.6,65.4
SLA-DRB1,DRB1,80.59591836734694,4.467636621633201,98,92.1,79.05
SLA-DRB1,DRB3,75.38979591836734,3.0526814238382443,98,83.6,75.2
SLA-DRB1,DRB4,70.0561224489796,3.8009240961707924,98,78.3,71.2
SLA-DRB1,DRB5,76.19591836734693,3.179084948010903,98,83.3,75.9
